,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,99.72,99.72,99.72,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2005-02-01,96.61,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92,96.92
2005-03-01,99.58,69.9,99.86,99.58,70.04,100.0,69.63,69.63,69.63,69.63
2005-04-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-05-01,100.0,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,99.43,100.0,100.0,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2005-07-01,99.72,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-08-01,99.45,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2005-09-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-10-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-11-01,99.57,99.71,99.71,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2005-12-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-01-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-02-01,96.76,99.38,99.38,97.23,99.69,99.69,97.23,97.23,97.23,97.23
2006-03-01,99.17,99.03,99.58,99.45,99.45,100.0,99.45,99.45,99.45,99.45
2006-04-01,98.85,98.85,99.0,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2006-05-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-06-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-07-01,99.86,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-08-01,99.58,100.0,99.72,99.72,100.0,99.72,99.72,99.72,99.72,99.72
2006-09-01,100.0,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71,99.71
2006-10-01,99.31,99.72,99.72,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2006-11-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-12-01,98.75,99.86,99.72,98.89,100.0,100.0,98.89,98.89,98.89,98.89
2007-01-01,100.0,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-02-01,99.69,99.54,99.69,99.69,99.54,99.69,99.54,99.54,99.54,99.54
2007-03-01,99.45,99.45,99.45,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2007-04-01,99.71,99.71,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-05-01,99.17,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2007-06-01,98.42,100.0,99.57,99.0,100.0,99.71,98.71,98.71,98.71,98.71
2007-07-01,99.31,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-08-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2007-09-01,98.57,99.57,99.43,99.43,99.57,99.57,99.43,99.43,99.43,99.43
2007-10-01,99.58,99.58,98.89,99.72,100.0,99.31,99.31,99.31,99.31,99.31
2007-11-01,99.86,100.0,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-12-01,100.0,97.78,99.17,100.0,97.92,99.58,97.5,97.5,97.5,97.5
2008-01-01,98.2,99.86,99.58,98.34,100.0,100.0,98.34,98.34,98.34,98.34
2008-02-01,98.81,100.0,99.7,98.96,100.0,100.0,98.96,98.96,98.96,98.96
2008-03-01,98.2,99.86,99.58,99.03,100.0,100.0,99.03,99.03,99.03,99.03
2008-04-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2008-05-01,99.72,78.64,98.89,100.0,78.64,98.89,78.09,78.09,78.09,78.09
2008-06-01,99.71,100.0,87.52,99.71,100.0,89.1,88.81,88.81,88.81,88.81
2008-07-01,98.75,99.86,94.73,99.45,100.0,94.87,94.31,94.31,94.31,94.31
2008-08-01,98.61,99.86,99.86,98.61,100.0,100.0,98.61,98.61,98.61,98.61
2008-09-01,99.43,97.42,99.71,99.57,97.42,100.0,96.99,96.99,96.99,96.99
2008-10-01,98.61,98.75,99.58,99.03,98.89,100.0,98.47,98.47,98.47,98.47
2008-11-01,99.86,99.28,100.0,100.0,99.28,100.0,99.28,99.28,99.28,99.28
2008-12-01,99.31,99.45,99.58,99.58,100.0,99.72,99.31,99.31,99.31,99.31
2009-01-01,99.72,98.61,100.0,100.0,98.61,100.0,98.61,98.61,98.61,98.61
2009-02-01,97.38,95.53,99.38,97.53,95.53,99.38,93.68,93.68,93.68,93.68
2009-03-01,99.17,99.72,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-04-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-05-01,99.31,100.0,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2009-06-01,99.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-07-01,98.89,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2009-08-01,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-09-01,98.85,99.86,99.86,99.14,100.0,100.0,99.14,99.14,99.14,99.14
2009-10-01,99.86,99.86,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-11-01,99.57,99.71,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-12-01,98.75,99.58,99.86,99.17,99.58,100.0,98.75,98.75,98.75,98.75
2010-01-01,98.47,99.86,99.86,98.61,100.0,100.0,98.61,98.61,98.61,98.61
2010-02-01,98.92,99.85,99.85,99.08,100.0,100.0,99.08,99.08,99.08,99.08
2010-03-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-04-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-05-01,98.2,99.72,99.72,98.34,100.0,100.0,98.34,98.34,98.34,98.34
2010-06-01,99.57,99.86,100.0,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2010-07-01,98.34,100.0,100.0,98.34,100.0,100.0,98.34,98.34,98.34,98.34
2010-08-01,99.31,100.0,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2010-09-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-10-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-11-01,99.43,100.0,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2010-12-01,99.31,99.86,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2011-01-01,99.72,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-02-01,82.9,87.37,85.98,83.2,87.37,85.98,82.59,82.59,82.59,82.59
2011-03-01,99.58,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2011-04-01,99.86,99.28,99.86,100.0,99.57,100.0,99.57,99.57,99.57,99.57
2011-05-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-06-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-07-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2011-08-01,99.45,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-09-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2011-10-01,99.03,99.58,99.58,99.31,99.72,99.72,98.89,98.89,98.89,98.89
2011-11-01,99.71,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
