,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,56.67,0.0,0.0,56.81,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,91.26,0.0,0.0,91.54,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,94.26,0.0,0.0,94.69,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,85.85,0.0,0.0,85.85,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,91.82,0.0,0.0,91.82,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,99.58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,98.57,0.0,0.0,98.57,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,60.89,0.0,0.0,61.3,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,94.84,0.0,0.0,95.27,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,97.92,0.0,0.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,25.24,0.0,0.0,25.38,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,94.12,0.0,0.0,95.12,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,96.26,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,68.15,0.0,0.0,68.72,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,71.57,0.0,0.0,72.26,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,94.04,0.0,0.0,94.17,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,99.85,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,52.43,0.0,0.0,52.57,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,86.23,0.0,0.0,86.94,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,98.75,0.0,0.0,99.45,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,83.07,0.0,0.0,83.36,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,99.86,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,89.04,0.0,0.0,90.29,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,76.76,0.0,0.0,77.62,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,90.85,0.0,0.0,90.71,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,99.43,0.0,0.0,99.43,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,59.08,0.0,0.0,59.22,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,30.37,0.0,0.0,30.37,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,4.85,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,9.29,0.0,0.0,10.26,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,70.74,0.0,0.0,70.87,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,89.67,0.0,0.0,90.39,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,98.2,0.0,0.0,98.75,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,99.31,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,27.12,0.0,0.0,27.58,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,97.09,0.0,0.0,97.64,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,96.13,0.0,0.0,96.41,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,97.64,0.0,0.0,98.75,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,98.28,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,99.17,0.0,0.0,99.31,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,98.61,0.0,0.0,99.17,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,98.57,0.0,0.0,99.28,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,99.58,0.0,0.0,99.72,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,88.38,0.0,0.0,88.67,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,97.64,0.0,0.0,98.47,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,98.06,0.0,0.0,99.45,0.0,0.0,0.0,0.0,0.0,0.0
