,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,99.72,99.03,99.03,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2005-02-01,100.0,99.08,67.18,100.0,99.69,67.64,67.64,67.64,67.64,67.64
2005-03-01,99.86,98.89,98.2,100.0,99.58,98.89,98.47,98.47,98.47,98.47
2005-04-01,99.86,97.42,99.28,100.0,98.13,100.0,98.13,98.13,98.13,98.13
2005-05-01,100.0,98.47,99.17,100.0,99.31,100.0,99.31,99.31,99.31,99.31
2005-06-01,81.49,91.54,99.14,81.49,91.82,99.71,75.18,76.33,75.18,76.33
2005-07-01,97.5,95.15,96.67,97.5,95.84,97.23,95.56,95.56,95.56,95.56
2005-08-01,99.31,32.59,99.45,99.45,32.87,100.0,32.87,33.15,32.87,33.15
2005-09-01,96.13,87.8,99.43,96.27,88.09,100.0,84.36,85.08,84.36,85.08
2005-10-01,88.9,99.31,99.17,88.77,100.0,100.0,88.77,88.77,88.77,88.77
2005-11-01,99.28,99.0,98.71,99.57,99.0,99.0,97.85,97.85,97.85,97.85
2005-12-01,98.06,99.86,99.31,98.06,100.0,100.0,98.06,98.06,98.06,98.06
2006-01-01,99.31,99.86,99.86,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2006-02-01,99.85,99.85,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-03-01,97.92,99.17,99.45,98.34,99.72,99.72,98.34,98.34,98.34,98.34
2006-04-01,98.85,98.57,98.71,99.57,99.14,99.0,98.57,98.57,98.57,98.57
2006-05-01,95.15,97.78,99.58,95.15,97.92,99.72,93.34,93.34,93.34,93.34
2006-06-01,99.71,100.0,100.0,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-07-01,99.17,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-08-01,99.17,95.7,99.31,100.0,96.67,100.0,96.67,96.67,96.67,96.67
2006-09-01,99.57,99.43,99.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-10-01,99.58,99.86,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-11-01,96.7,100.0,85.08,96.7,100.0,85.08,81.78,81.78,81.78,81.78
2006-12-01,98.47,100.0,100.0,98.61,100.0,100.0,98.61,98.61,98.61,98.61
2007-01-01,99.72,98.2,76.01,100.0,98.47,76.01,74.48,74.48,74.48,74.48
2007-02-01,99.38,99.54,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-03-01,96.26,99.86,100.0,96.39,100.0,100.0,96.39,96.39,96.39,96.39
2007-04-01,97.27,99.57,99.0,97.13,100.0,99.14,96.27,96.27,96.27,96.27
2007-05-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-06-01,99.14,100.0,100.0,99.28,100.0,100.0,99.28,99.28,99.28,99.28
2007-07-01,94.04,99.03,97.5,94.31,99.72,98.06,93.62,93.62,93.62,93.62
2007-08-01,99.86,98.89,95.42,100.0,99.58,95.7,95.28,95.28,95.28,95.28
2007-09-01,100.0,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-10-01,99.31,98.47,99.58,99.31,99.03,99.58,98.61,98.61,98.61,98.61
2007-11-01,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-12-01,93.34,100.0,100.0,93.48,100.0,100.0,93.48,93.48,93.48,93.48
2008-01-01,100.0,99.86,99.58,100.0,100.0,99.58,99.58,99.58,99.58,99.58
2008-02-01,98.22,99.85,100.0,98.37,100.0,100.0,98.37,98.37,98.37,98.37
2008-03-01,98.89,99.86,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2008-04-01,95.55,99.71,99.86,95.55,100.0,100.0,95.55,95.55,95.55,95.55
2008-05-01,100.0,99.86,99.45,100.0,100.0,99.58,99.58,99.58,99.58,99.58
2008-06-01,96.7,99.86,97.56,96.99,100.0,97.56,94.55,94.55,94.55,94.55
2008-07-01,99.58,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2008-08-01,99.45,100.0,100.0,99.86,100.0,100.0,99.86,99.86,99.86,99.86
2008-09-01,99.86,87.09,100.0,100.0,87.23,100.0,87.23,87.23,87.23,87.23
2008-10-01,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-11-01,97.7,100.0,100.0,97.7,100.0,100.0,97.7,97.7,97.7,97.7
