,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,98.34,0.0,94.87,98.61,0.0,98.75,0.0,0.0,0.0,0.0
2005-02-01,98.77,0.0,95.84,99.23,0.0,100.0,0.0,0.0,0.0,0.0
2005-03-01,97.78,0.0,95.84,97.92,0.0,100.0,0.0,0.0,0.0,0.0
2005-04-01,88.81,0.0,95.27,88.95,0.0,99.28,0.0,0.0,0.0,0.0
2005-05-01,97.5,0.0,95.84,97.64,0.0,100.0,0.0,0.0,0.0,0.0
2005-06-01,96.56,0.0,82.78,96.56,0.0,86.23,0.0,0.0,0.0,0.0
2005-07-01,73.65,0.0,94.73,73.79,0.0,98.89,0.0,0.0,0.0,0.0
2005-08-01,100.0,0.0,95.84,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-09-01,99.28,0.0,95.84,99.43,0.0,100.0,0.0,0.0,0.0,0.0
2005-10-01,100.0,0.0,95.84,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-11-01,96.99,0.0,95.84,97.42,0.0,100.0,0.0,0.0,0.0,0.0
2005-12-01,99.58,0.0,95.84,99.86,0.0,100.0,0.0,0.0,0.0,0.0
2006-01-01,90.43,0.0,95.01,90.29,0.0,99.17,0.0,0.0,0.0,0.0
2006-02-01,98.61,0.0,95.84,98.77,0.0,100.0,0.0,0.0,0.0,0.0
2006-03-01,99.45,0.0,95.84,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2006-04-01,84.07,0.0,95.84,84.22,0.0,100.0,0.0,0.0,0.0,0.0
2006-05-01,90.71,0.0,92.79,90.57,0.0,96.95,0.0,0.0,0.0,0.0
2006-06-01,97.7,0.0,95.84,99.14,0.0,100.0,0.0,0.14,0.0,0.14
2006-07-01,98.2,0.0,94.73,98.75,0.0,99.17,0.0,0.0,0.0,0.0
2006-08-01,99.31,0.0,95.28,99.45,0.0,99.31,0.0,0.0,0.0,0.0
2006-09-01,99.28,0.0,95.55,99.71,0.0,99.57,0.0,0.0,0.0,0.0
2006-10-01,97.92,0.0,95.84,98.34,0.0,100.0,0.0,0.0,0.0,0.0
2006-11-01,99.14,0.0,95.84,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2006-12-01,99.58,0.0,95.7,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-01-01,92.09,0.0,95.84,92.23,0.0,100.0,0.0,0.0,0.0,0.0
2007-02-01,100.0,0.0,95.69,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-03-01,98.61,0.0,95.01,98.75,0.0,99.17,0.0,0.0,0.0,0.0
2007-04-01,99.86,0.0,95.84,100.0,0.0,100.0,0.0,0.29,0.0,0.29
2007-05-01,98.75,0.0,95.84,99.31,0.0,100.0,0.0,0.28,0.0,0.28
2007-06-01,98.85,0.0,95.7,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-07-01,89.74,0.0,93.34,91.12,0.0,97.23,0.0,0.0,0.0,0.0
2007-08-01,99.86,0.0,95.56,100.0,0.0,99.58,0.0,0.0,0.0,0.0
