,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,99.72,0.0,99.72,99.58,0.0,99.58,0.0,0.0,0.0,0.0
2005-02-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-03-01,98.61,0.0,99.58,98.75,0.0,99.72,0.0,0.0,0.0,0.0
2005-04-01,84.36,0.0,99.57,84.51,0.0,99.71,0.0,0.43,0.0,0.43
2005-05-01,99.86,0.0,99.72,100.0,0.0,100.0,0.0,1.39,0.0,1.39
2005-06-01,99.14,0.0,99.28,99.43,0.0,99.43,0.0,3.3,0.0,3.3
2005-07-01,98.75,0.0,100.0,98.89,0.0,100.0,0.0,0.0,0.0,0.0
2005-08-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,1.53,0.0,1.53
2005-09-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,1.15,0.0,1.15
2005-10-01,99.45,0.0,99.31,99.58,0.0,99.58,0.0,0.0,0.0,0.0
2005-11-01,99.71,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-12-01,96.67,0.0,99.86,96.53,0.0,100.0,0.0,0.0,0.0,0.0
2006-01-01,99.58,0.0,99.86,99.58,0.0,100.0,0.0,0.0,0.0,0.0
2006-02-01,99.85,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2006-03-01,99.45,0.0,99.58,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2006-04-01,99.14,0.0,99.14,99.57,0.0,99.57,0.0,0.0,0.0,0.0
2006-05-01,99.72,0.0,99.72,100.0,0.0,100.0,0.0,0.14,0.0,0.14
2006-06-01,97.13,0.0,99.86,97.13,0.0,100.0,0.0,2.3,0.0,2.3
2006-07-01,97.23,0.0,97.5,97.5,0.0,97.64,0.0,0.55,0.0,0.55
2006-08-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2006-09-01,99.71,0.0,100.0,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2006-10-01,99.31,0.0,99.58,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2006-11-01,98.57,0.0,98.71,98.71,0.0,98.85,0.0,0.0,0.0,0.0
2006-12-01,99.17,0.0,100.0,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2007-01-01,99.45,0.0,99.86,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2007-02-01,100.0,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-03-01,81.41,0.0,83.36,81.41,0.0,83.36,0.0,0.0,0.0,0.0
2007-04-01,99.86,0.0,99.71,100.0,0.0,100.0,0.0,0.43,0.0,0.43
2007-05-01,99.72,0.0,99.86,100.0,0.0,100.0,0.0,3.19,0.0,3.19
2007-06-01,95.41,0.0,99.71,95.84,0.0,100.0,0.0,0.29,0.0,0.29
2007-07-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-08-01,95.42,0.0,99.86,95.7,0.0,100.0,0.0,0.0,0.0,0.0
2007-09-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-10-01,99.45,0.0,99.72,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2007-11-01,100.0,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2007-12-01,90.43,0.0,100.0,90.57,0.0,100.0,0.0,0.0,0.0,0.0
2008-01-01,99.03,0.0,99.86,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2008-02-01,98.96,0.0,100.0,98.81,0.0,100.0,0.0,0.0,0.0,0.0
2008-03-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2008-04-01,84.79,0.0,99.86,85.08,0.0,100.0,0.0,0.0,0.0,0.0
2008-05-01,99.72,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2008-06-01,92.97,0.0,96.41,93.69,0.0,96.56,0.0,0.0,0.0,0.0
2008-07-01,99.72,0.0,99.86,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2008-08-01,95.42,0.0,100.0,96.12,0.0,100.0,0.0,0.0,0.0,0.0
2008-09-01,99.14,0.0,100.0,99.14,0.0,100.0,0.0,0.0,0.0,0.0
2008-10-01,99.58,0.0,99.58,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2008-11-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2008-12-01,99.31,0.0,99.58,99.45,0.0,99.58,0.0,0.0,0.0,0.0
2009-01-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-02-01,99.85,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-03-01,97.36,0.0,100.0,97.78,0.0,100.0,0.0,0.0,0.0,0.0
2009-04-01,99.28,0.0,98.71,99.43,0.0,99.0,0.0,0.0,0.0,0.0
2009-05-01,99.72,0.0,99.72,100.0,0.0,100.0,0.0,1.53,0.0,1.53
2009-06-01,96.41,0.0,99.57,96.99,0.0,99.71,0.0,0.0,0.0,0.0
2009-07-01,99.72,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-08-01,93.48,0.0,100.0,93.62,0.0,100.0,0.0,0.0,0.0,0.0
2009-09-01,94.98,0.0,99.28,95.12,0.0,99.57,0.0,0.0,0.0,0.0
2009-10-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-11-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-12-01,96.95,0.0,100.0,97.36,0.0,100.0,0.0,0.0,0.0,0.0
2010-01-01,99.86,0.0,99.72,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2010-02-01,99.38,0.0,99.85,99.38,0.0,100.0,0.0,0.0,0.0,0.0
2010-03-01,99.17,0.0,99.86,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2010-04-01,99.57,0.0,99.57,99.57,0.0,99.57,0.0,0.0,0.0,0.0
2010-05-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2010-06-01,99.43,0.0,100.0,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2010-07-01,99.58,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2010-08-01,99.58,0.0,99.86,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2010-09-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2010-10-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2010-11-01,99.57,0.0,100.0,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2010-12-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2011-01-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2011-02-01,99.23,0.0,98.0,99.38,0.0,98.15,0.0,0.0,0.0,0.0
2011-03-01,99.86,0.0,98.89,100.0,0.0,98.89,0.0,0.0,0.0,0.0
2011-04-01,96.56,0.0,97.85,96.84,0.0,98.13,0.0,0.0,0.0,0.0
2011-05-01,100.0,0.0,99.72,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2011-06-01,99.71,0.0,99.86,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2011-07-01,99.86,0.0,97.92,100.0,0.0,98.06,0.0,0.0,0.0,0.0
2011-08-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2011-09-01,99.43,0.0,99.43,99.43,0.0,99.57,0.0,0.0,0.0,0.0
2011-10-01,99.31,0.0,99.86,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2011-11-01,99.71,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2011-12-01,99.72,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2012-01-01,99.72,0.0,100.0,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2012-02-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2012-03-01,99.17,0.0,99.86,99.17,0.0,100.0,0.0,0.0,0.0,0.0
2012-04-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2012-05-01,99.58,0.0,99.72,100.0,0.0,100.0,0.0,1.94,0.0,1.94
2012-06-01,99.71,0.0,97.13,99.71,0.0,97.13,0.0,0.29,0.0,0.29
2012-07-01,99.72,0.0,91.12,100.0,0.0,91.26,0.0,0.0,0.0,0.0
2012-08-01,100.0,0.0,97.36,100.0,0.0,97.36,0.0,0.28,0.0,0.28
2012-09-01,99.86,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2012-10-01,99.58,0.0,98.2,100.0,0.0,98.34,0.0,0.0,0.0,0.0
2012-11-01,99.0,0.0,99.71,99.0,0.0,99.71,0.0,0.0,0.0,0.0
2012-12-01,99.58,0.0,100.0,99.58,0.0,100.0,0.0,0.0,0.0,0.0
2013-01-01,99.17,99.31,99.45,99.17,99.31,99.45,98.75,98.75,98.75,98.75
2013-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013-03-01,99.72,99.72,99.72,99.72,99.72,99.72,99.58,99.58,99.58,99.58
2013-04-01,99.71,99.43,99.71,99.71,99.57,100.0,99.57,99.57,99.57,99.57
2013-05-01,99.03,99.45,99.45,99.17,100.0,100.0,99.17,99.17,99.17,99.17
2013-06-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013-07-01,98.06,99.03,98.89,98.06,99.58,99.45,98.06,98.06,98.06,98.06
