,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,98.89,99.03,99.03,99.03,99.31,99.31,99.03,99.03,99.03,99.03
2005-02-01,99.08,99.23,99.08,99.38,99.69,99.38,99.38,99.38,99.38,99.38
2005-03-01,52.84,52.98,53.26,52.84,53.26,53.26,48.68,48.68,48.68,48.68
2005-04-01,99.43,99.57,99.57,100.0,99.57,100.0,99.57,99.57,99.57,99.57
2005-05-01,99.58,99.72,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,50.79,50.79,50.79,50.93,50.93,50.93,50.93,50.93,50.93,50.93
2005-07-01,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17
2005-08-01,90.85,91.54,91.54,90.98,91.68,91.68,90.98,90.98,90.98,90.98
2005-09-01,98.28,98.85,98.85,98.57,99.0,99.0,98.28,98.28,98.28,98.28
2005-10-01,99.45,99.45,99.45,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2005-11-01,99.43,99.43,99.43,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2005-12-01,99.31,99.31,99.31,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2006-01-01,0.28,0.28,0.28,0.42,0.42,0.42,0.42,0.42,0.42,0.42
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,99.31,0.0,99.31,99.17,0.0,99.17,0.0,0.0,0.0,0.0
2007-02-01,96.92,0.0,97.53,96.76,0.0,97.38,0.0,0.0,0.0,0.0
2007-03-01,99.17,0.0,99.17,99.17,0.0,99.17,0.0,0.0,0.0,0.0
2007-04-01,99.43,0.0,99.43,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2007-05-01,99.31,0.0,99.17,99.45,0.0,99.17,0.0,0.0,0.0,0.0
2007-06-01,99.43,0.0,99.71,99.57,0.0,100.0,0.0,0.0,0.0,0.0
2007-07-01,99.17,0.0,99.58,99.17,0.0,100.0,0.0,0.0,0.0,0.0
2007-08-01,84.74,0.0,98.61,84.33,0.0,98.75,0.0,0.0,0.0,0.0
2007-09-01,99.43,0.0,100.0,99.57,0.0,100.0,0.0,0.0,0.0,0.0
2007-10-01,40.64,0.0,0.28,40.78,0.0,0.42,0.0,0.0,0.0,0.0
2007-11-01,57.68,0.0,0.0,57.96,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,68.24,0.0,0.0,68.38,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,99.58,0.0,0.0,99.58,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,97.18,0.0,0.0,97.33,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,99.03,0.0,87.79,99.17,0.0,87.79,0.0,0.0,0.0,0.0
2008-04-01,97.27,0.0,97.27,97.42,0.0,97.42,0.0,0.0,0.0,0.0
2008-05-01,97.78,0.0,98.47,98.34,0.0,98.75,0.0,0.0,0.0,0.0
2008-06-01,77.62,33.43,79.77,78.62,33.29,79.77,32.71,32.71,32.71,32.71
2008-07-01,96.67,100.0,100.0,98.47,100.0,100.0,98.47,98.47,98.47,98.47
2008-08-01,97.92,99.72,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2008-09-01,98.28,98.85,98.71,99.57,100.0,98.85,98.42,98.42,98.42,98.42
2008-10-01,86.27,85.58,73.65,86.69,86.82,73.65,73.09,73.09,73.09,73.09
2008-11-01,80.49,80.06,80.63,80.34,80.63,80.63,80.34,80.34,80.34,80.34
2008-12-01,55.34,2.22,55.76,55.62,2.36,56.03,2.22,2.22,2.22,2.22
2009-01-01,22.19,0.0,44.11,22.47,0.0,44.24,0.0,0.0,0.0,0.0
2009-02-01,5.24,0.0,53.93,5.08,0.0,53.93,0.0,0.0,0.0,0.0
2009-03-01,93.9,0.0,11.51,93.9,0.0,11.37,0.0,0.0,0.0,0.0
2009-04-01,90.82,0.0,71.88,91.39,0.0,72.17,0.0,0.0,0.0,0.0
2009-05-01,99.58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,98.28,0.0,63.41,99.71,0.0,63.27,0.0,0.0,0.0,0.0
2009-07-01,96.81,0.0,99.72,98.2,0.0,100.0,0.0,0.0,0.0,0.0
2009-08-01,92.79,0.0,99.86,95.56,0.0,100.0,0.0,0.0,0.0,0.0
2009-09-01,97.27,0.0,100.0,99.14,0.0,100.0,0.0,0.0,0.0,0.0
2009-10-01,99.45,0.0,100.0,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2009-11-01,99.43,0.0,99.71,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2009-12-01,99.03,0.0,99.86,99.17,0.0,100.0,0.0,0.0,0.0,0.0
2010-01-01,99.17,0.0,99.86,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2010-02-01,99.69,0.0,100.0,99.69,0.0,100.0,0.0,0.0,0.0,0.0
2010-03-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2010-04-01,99.86,0.0,95.7,100.0,0.0,95.7,0.0,0.0,0.0,0.0
2010-05-01,99.45,0.0,97.78,99.72,0.0,97.92,0.0,0.0,0.0,0.0
2010-06-01,97.85,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,97.23,0.0,0.0,99.31,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,94.87,0.0,0.0,98.61,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,99.14,0.0,0.0,99.71,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,98.89,0.0,0.0,99.86,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,99.14,0.0,0.0,99.71,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,99.86,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,99.17,0.0,79.2,99.86,0.0,79.2,0.0,0.0,0.0,0.0
2011-02-01,98.15,0.0,44.99,99.54,0.0,44.99,0.0,0.0,0.0,0.0
2011-03-01,98.75,0.0,99.58,99.31,0.0,99.72,0.0,0.0,0.0,0.0
2011-04-01,99.28,0.0,93.54,99.71,0.0,94.26,0.0,0.0,0.0,0.0
2011-05-01,96.67,0.0,0.0,99.17,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,90.53,0.0,25.25,93.26,0.0,25.11,0.0,0.0,0.0,0.0
2011-07-01,97.64,0.0,99.86,99.31,0.0,100.0,0.0,0.0,0.0,0.0
2011-08-01,97.5,0.0,35.09,99.45,0.0,35.23,0.0,0.0,0.0,0.0
2011-09-01,0.29,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0
