,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,99.08,94.76,94.92,99.08,99.08,99.08,99.08,99.08,99.08,99.08
2005-03-01,100.0,95.42,95.42,100.0,99.72,99.72,99.72,99.72,99.72,99.72
2005-04-01,98.42,94.4,94.55,98.85,98.71,98.85,98.42,98.42,98.42,98.42
2005-05-01,99.58,95.28,95.28,99.58,99.45,99.45,99.03,99.03,99.03,99.03
2005-06-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-07-01,94.73,95.7,95.7,94.87,100.0,100.0,94.87,94.87,94.87,94.87
2005-08-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-09-01,100.0,95.7,95.12,100.0,100.0,99.43,99.43,99.43,99.43,99.43
2005-10-01,89.32,84.19,84.47,89.32,88.21,88.35,87.24,87.24,87.24,87.24
2005-11-01,99.71,95.84,95.84,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2005-12-01,90.01,86.27,86.27,90.15,90.15,90.15,90.15,90.15,90.15,90.15
2006-01-01,96.95,92.93,92.93,96.95,96.95,96.95,96.95,96.95,96.95,96.95
2006-02-01,100.0,94.45,94.61,100.0,99.08,98.92,98.31,98.31,98.31,98.31
2006-03-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-04-01,99.43,95.55,95.55,99.43,99.71,99.71,99.43,99.43,99.43,99.43
2006-05-01,99.58,95.56,95.56,99.58,99.72,99.72,99.31,99.31,99.31,99.31
2006-06-01,100.0,94.26,94.4,100.0,98.42,98.71,97.85,97.85,97.85,97.85
2006-07-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-08-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-09-01,99.14,95.84,95.84,99.14,100.0,100.0,99.14,99.14,99.14,99.14
2006-10-01,96.12,92.79,92.51,96.12,97.09,96.67,95.7,95.7,95.7,95.7
2006-11-01,100.0,95.84,95.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-12-01,100.0,94.31,94.73,100.0,98.75,99.17,98.34,98.34,98.34,98.34
2007-01-01,99.72,95.84,79.89,99.72,100.0,83.36,83.08,83.08,83.08,83.08
2007-02-01,100.0,95.53,95.53,100.0,99.69,99.69,99.69,99.69,99.69,99.69
2007-03-01,100.0,95.56,95.7,100.0,99.72,100.0,99.72,99.72,99.72,99.72
