,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005-01-01,99.58,99.31,99.31,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2005-02-01,99.85,99.38,99.23,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-03-01,100.0,98.61,99.31,100.0,99.45,100.0,99.45,99.45,99.45,99.45
2005-04-01,100.0,99.28,99.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-05-01,99.86,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,99.28,96.99,85.08,99.43,97.99,85.51,84.07,84.07,84.07,84.07
2005-07-01,99.86,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-08-01,99.72,99.03,99.17,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2005-09-01,99.0,81.49,99.0,99.14,81.78,99.14,81.78,81.78,81.78,81.78
2005-10-01,100.0,99.31,99.17,100.0,100.0,99.72,99.72,99.72,99.72,99.72
2005-11-01,99.43,99.0,99.0,99.43,99.71,99.71,99.43,99.43,99.43,99.43
2005-12-01,99.72,99.17,99.17,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2006-01-01,99.03,97.64,65.88,99.31,98.47,66.3,65.46,65.46,65.46,65.46
2006-02-01,99.38,98.77,98.77,99.69,99.69,99.69,99.69,99.69,99.69,99.69
2006-03-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-04-01,99.14,99.0,99.14,99.28,100.0,100.0,99.28,99.28,99.28,99.28
2006-05-01,99.31,98.61,98.61,99.45,99.31,99.45,99.31,99.31,99.31,99.31
2006-06-01,98.85,96.56,92.68,99.57,97.7,93.54,92.68,92.68,92.68,92.68
2006-07-01,94.87,94.04,90.98,95.28,94.59,91.54,91.54,91.54,91.54,91.54
2006-08-01,96.39,96.12,96.12,97.23,97.23,97.23,97.23,97.23,97.23,97.23
2006-09-01,99.43,98.85,98.85,99.43,99.43,99.43,99.43,99.43,99.43,99.43
2006-10-01,100.0,99.58,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-11-01,100.0,99.28,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-12-01,96.53,99.17,99.17,96.53,99.72,99.72,96.53,96.53,96.53,96.53
2007-01-01,100.0,99.03,99.31,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2007-02-01,99.85,99.38,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-03-01,100.0,99.45,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-04-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-05-01,99.86,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-06-01,99.57,99.0,99.0,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2007-07-01,97.5,98.75,98.75,97.5,99.45,99.45,97.5,97.5,97.5,97.5
2007-08-01,99.72,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-09-01,99.86,97.7,99.28,100.0,98.57,100.0,98.57,98.57,98.57,98.57
2007-10-01,100.0,87.1,98.75,100.0,88.07,99.31,87.52,87.52,87.52,87.52
2007-11-01,100.0,99.43,99.0,100.0,100.0,99.57,99.57,99.57,99.57,99.57
2007-12-01,100.0,99.45,87.66,100.0,100.0,88.07,88.07,88.07,88.07,88.07
2008-01-01,99.58,99.03,99.03,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2008-02-01,100.0,99.41,99.41,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-03-01,91.68,99.45,96.39,91.68,100.0,96.95,90.98,90.98,90.98,90.98
2008-04-01,99.71,99.28,99.43,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2008-05-01,100.0,93.48,99.45,100.0,94.04,100.0,94.04,94.04,94.04,94.04
2008-06-01,99.0,98.42,98.13,99.0,99.0,98.71,98.71,98.71,98.71,98.71
2008-07-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-08-01,99.72,99.17,99.17,99.72,99.58,99.58,99.58,99.58,99.58,99.58
2008-09-01,99.86,99.0,99.28,100.0,99.71,100.0,99.71,99.71,99.71,99.71
2008-10-01,99.72,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-11-01,100.0,99.43,90.53,100.0,100.0,90.96,90.96,90.96,90.96,90.96
2008-12-01,100.0,99.31,67.41,100.0,100.0,67.96,67.96,67.96,67.96,67.96
2009-01-01,100.0,99.45,47.43,100.0,100.0,47.43,47.43,47.43,47.43,47.43
2009-02-01,99.85,99.38,99.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-03-01,100.0,99.31,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-04-01,95.12,99.43,96.99,95.12,100.0,97.7,92.83,92.83,92.83,92.83
2009-05-01,99.86,98.06,98.75,100.0,98.75,99.31,98.75,98.75,98.75,98.75
2009-06-01,99.86,99.28,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-07-01,99.86,99.03,99.31,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2009-08-01,99.86,95.01,99.31,100.0,95.84,100.0,95.84,95.84,95.84,95.84
2009-09-01,99.71,99.43,99.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-10-01,100.0,99.45,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-11-01,79.05,99.14,99.43,79.05,100.0,100.0,79.05,79.05,79.05,79.05
2009-12-01,99.58,99.17,99.17,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2010-01-01,91.54,79.06,99.58,91.68,79.61,100.0,71.29,71.29,71.29,71.29
2010-02-01,0.0,95.07,99.38,0.0,95.38,100.0,0.0,0.0,0.0,0.0
2010-03-01,73.09,89.46,89.46,72.95,90.01,90.01,72.95,72.95,72.95,72.95
2010-04-01,81.92,99.43,99.43,81.92,100.0,100.0,81.92,81.92,81.92,81.92
2010-05-01,99.86,99.58,98.34,100.0,100.0,98.75,98.75,98.75,98.75,98.75
