,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,87.96,83.6,86.63,88.04,87.26,90.33,86.77,86.77,86.77,86.77
2016,99.03,83.44,84.1,99.07,87.11,87.77,75.01,75.01,75.01,75.01
2017,89.15,88.4,93.91,89.18,92.06,97.82,81.59,81.59,81.59,81.59
2018,99.39,92.49,92.75,99.4,96.25,96.52,95.67,95.67,95.67,95.67
2019,71.93,57.07,86.43,71.95,59.41,90.02,51.32,51.32,51.32,51.32
2020,99.06,95.22,71.19,99.13,99.3,74.21,73.11,73.11,73.11,73.11
2021,97.22,88.21,87.72,97.58,92.03,91.59,84.92,84.92,84.92,84.92
2022,99.58,95.63,88.61,99.62,99.66,92.32,91.98,91.98,91.98,91.98
2023,97.25,92.85,92.33,97.29,96.7,96.18,95.67,95.67,95.67,95.67
2024,90.15,93.47,93.87,90.56,97.63,98.07,90.12,90.12,90.12,90.12
2025,78.68,77.42,65.51,78.9,80.82,68.32,65.56,65.57,65.56,65.57
