,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.66,95.45,95.3,99.15,99.41,99.26,98.55,98.55,98.55,98.55
2006,97.03,80.98,94.66,97.71,83.71,98.62,82.76,82.76,82.76,82.76
2007,98.53,94.8,95.7,99.08,97.81,99.7,96.93,96.93,96.93,96.93
2008,99.14,95.62,95.73,99.54,99.6,99.73,99.13,99.13,99.13,99.13
2009,98.39,0.02,100.0,98.99,0.03,100.0,0.03,0.03,0.03,0.03
2010,56.99,0.0,0.0,57.53,0.0,0.01,0.0,0.0,0.0,0.0
2011,96.85,0.0,0.0,98.33,0.0,0.0,0.0,0.0,0.0,0.0
2012,97.42,0.0,0.0,97.53,0.0,0.0,0.0,0.0,0.0,0.0
2013,96.99,0.0,0.0,97.23,0.0,0.0,0.0,0.0,0.0,0.0
2014,96.71,95.18,95.2,97.17,99.51,99.57,96.48,96.48,96.48,96.48
2015,97.67,94.71,94.78,98.21,98.79,98.86,96.77,96.77,96.77,96.77
2016,97.32,95.55,95.86,97.97,99.56,99.87,97.47,97.47,97.47,97.47
2017,45.79,95.82,95.8,46.23,99.84,99.82,46.12,46.15,46.12,46.15
2018,98.65,95.29,95.22,98.77,99.34,99.25,98.26,98.26,98.26,98.26
2019,98.64,95.35,95.39,98.72,99.35,99.39,98.41,98.41,98.41,98.41
2020,99.4,95.42,95.65,99.5,99.47,99.7,98.93,98.93,98.93,98.93
2021,98.44,95.6,95.66,98.53,99.62,99.67,98.32,98.32,98.32,98.32
2022,99.73,95.71,95.83,99.81,99.73,99.87,99.54,99.54,99.54,99.54
2023,99.86,95.77,95.79,99.93,99.76,99.79,99.72,99.72,99.72,99.72
2024,98.93,94.27,94.93,99.39,98.47,99.14,98.32,98.32,98.32,98.32
2025,77.3,77.6,77.37,77.51,81.02,80.83,77.1,77.1,77.1,77.1
