,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.89,96.97,99.47,99.05,97.02,99.48,96.06,96.06,96.06,96.06
2006,99.29,98.03,99.27,99.5,98.07,99.32,97.49,97.49,97.49,97.49
2007,99.18,94.83,99.16,99.44,95.2,99.22,94.63,94.63,94.63,94.63
2008,98.96,84.58,99.31,99.25,84.6,99.35,83.82,83.82,83.82,83.82
2009,96.55,88.71,76.86,96.76,88.77,76.89,73.86,73.86,73.86,73.86
2010,85.25,78.78,92.71,88.12,78.95,92.77,74.35,74.35,74.35,74.35
2011,89.62,96.25,99.21,93.0,96.31,99.29,90.11,90.11,90.11,90.11
2012,75.16,92.68,97.44,78.16,93.59,97.5,72.79,72.81,72.79,72.81
2013,91.47,99.83,100.0,93.67,99.85,100.0,93.63,93.63,93.63,93.63
2014,96.66,91.36,98.59,98.64,91.51,98.62,89.72,89.72,89.72,89.72
2015,91.74,94.94,98.86,95.08,95.06,98.94,90.1,90.1,90.1,90.1
2016,29.06,97.98,99.22,30.86,98.05,99.32,30.37,30.37,30.37,30.37
2017,99.21,97.74,98.61,99.26,97.78,98.67,97.3,97.3,97.3,97.3
2018,94.01,94.78,95.5,94.08,98.62,99.29,92.65,92.65,92.65,92.65
2019,96.82,93.17,93.96,96.83,97.32,98.06,95.3,95.3,95.3,95.3
2020,99.86,94.4,95.31,99.93,98.58,99.47,98.57,98.57,98.57,98.57
2021,99.08,92.65,93.5,99.16,96.76,97.62,95.38,95.38,95.38,95.38
2022,99.47,89.43,95.15,99.55,89.98,99.36,89.6,89.6,89.6,89.6
2023,97.2,88.67,93.82,97.32,88.66,97.9,87.5,87.5,87.5,87.5
2024,96.08,0.0,93.34,97.17,0.01,98.28,0.01,0.01,0.01,0.01
2025,74.15,0.0,70.6,74.31,0.0,73.85,0.0,0.0,0.0,0.0
