,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.94,97.43,99.77,99.02,97.56,99.87,96.64,96.64,96.64,96.64
2006,98.61,97.33,99.44,98.74,97.52,99.63,96.94,96.94,96.94,96.94
2007,98.95,99.54,99.8,99.25,99.66,99.93,98.93,98.95,98.93,98.95
2008,98.12,97.28,99.87,98.52,97.49,99.98,96.3,96.3,96.3,96.3
2009,98.74,98.96,99.82,99.12,99.01,99.88,98.17,98.17,98.17,98.17
2010,81.35,99.77,99.56,81.67,99.84,99.6,81.4,81.4,81.4,81.4
2011,97.42,99.5,99.17,97.85,99.54,99.24,97.39,97.39,97.39,97.39
2012,97.13,99.84,99.84,97.89,99.84,99.84,97.84,97.89,97.84,97.89
2013,97.24,98.59,98.56,97.24,98.93,98.9,96.28,96.28,96.28,96.28
2014,98.04,98.97,98.92,98.1,99.61,99.55,97.69,97.69,97.69,97.69
2015,99.46,99.13,98.81,99.51,99.76,99.42,99.08,99.08,99.08,99.08
2016,98.4,97.49,98.77,98.66,98.19,99.48,97.14,97.14,97.14,97.14
2017,99.34,99.2,99.15,99.37,99.81,99.76,99.31,99.31,99.31,99.31
2018,98.1,98.72,98.89,98.13,99.34,99.53,97.9,97.9,97.9,97.9
2019,99.87,99.17,99.28,99.87,99.8,99.92,99.74,99.74,99.74,99.74
2020,98.94,99.27,98.44,98.95,99.87,99.03,98.08,98.08,98.08,98.08
2021,99.79,99.04,99.02,99.81,99.74,99.76,99.62,99.62,99.62,99.62
2022,6.47,98.81,98.9,6.47,99.39,99.49,6.47,6.54,6.47,6.54
2023,99.77,98.89,98.93,99.8,99.66,99.7,99.57,99.57,99.57,99.57
2024,97.72,97.23,96.49,98.57,98.85,98.02,97.74,97.74,97.74,97.74
2025,74.13,73.94,73.88,74.2,74.55,74.38,74.13,74.13,74.13,74.13
