,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,97.85,97.68,97.98,97.96,99.2,99.48,97.21,97.21,97.21,97.21
2006,98.91,97.94,96.06,98.98,99.53,97.63,96.97,96.97,96.97,96.97
2007,98.51,97.29,98.09,98.7,98.92,99.75,97.61,97.61,97.61,97.61
2008,97.01,94.97,96.72,97.22,96.52,98.32,95.54,95.54,95.54,95.54
2009,98.55,97.83,98.03,98.77,99.41,99.6,98.28,98.28,98.28,98.28
2010,99.46,96.44,98.11,99.61,97.95,99.67,97.53,97.53,97.53,97.53
2011,97.72,97.15,96.85,97.79,98.63,98.31,97.23,97.23,97.23,97.23
2012,96.52,96.93,98.39,96.72,98.38,99.87,95.07,95.07,95.07,95.07
2013,96.89,98.07,98.31,96.99,99.53,99.79,96.52,96.52,96.52,96.52
2014,27.81,37.6,37.68,27.88,38.28,38.38,27.85,27.85,27.85,27.85
2015,60.53,60.72,60.54,60.63,61.58,61.31,59.9,59.9,59.9,59.9
2016,93.69,96.82,95.97,93.72,98.34,97.22,92.1,92.1,92.1,92.1
2017,96.16,95.69,93.84,96.33,97.05,95.17,94.03,94.03,94.03,94.03
2018,95.91,96.09,95.98,96.15,96.35,96.55,95.3,95.3,95.3,95.3
2019,99.51,98.17,98.14,99.67,98.44,98.41,98.03,98.03,98.03,98.03
2020,99.19,99.41,99.39,99.44,99.58,99.55,98.93,98.93,98.93,98.93
2021,99.39,98.15,98.12,99.72,98.41,98.4,98.12,98.12,98.12,98.12
2022,99.14,93.22,97.05,99.29,93.52,97.33,92.89,92.89,92.89,92.89
2023,98.2,98.55,98.03,98.43,98.85,98.36,97.67,97.67,97.67,97.67
2024,96.38,97.44,97.28,96.8,97.85,97.68,96.26,96.26,96.26,96.26
2025,81.5,81.92,81.86,81.7,82.05,82.01,81.5,81.5,81.5,81.5
