,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.77,0.0,95.72,99.09,0.0,99.7,0.0,0.0,0.0,0.0
2006,98.24,40.94,95.59,98.97,42.62,99.58,41.87,41.87,41.87,41.87
2007,98.21,91.63,88.94,99.0,95.46,92.63,87.46,87.46,87.46,87.46
2008,97.75,95.18,95.04,98.43,99.27,99.12,97.27,97.27,97.27,97.27
2009,99.04,92.8,97.45,99.39,96.67,99.42,95.86,95.86,95.86,95.86
2010,99.08,94.56,95.71,99.49,98.45,99.66,98.0,98.0,98.0,98.0
2011,98.9,95.48,95.43,99.21,99.48,99.41,98.71,98.71,98.71,98.71
2012,97.74,93.6,95.44,98.06,97.14,99.02,95.33,95.33,95.33,95.33
2013,95.72,92.95,94.56,96.25,97.15,98.8,93.9,93.9,93.9,93.9
2014,96.2,93.91,94.91,96.69,98.16,99.22,94.62,94.62,94.62,94.62
2015,95.03,95.26,95.15,95.76,99.58,99.48,95.2,95.2,95.2,95.2
2016,94.67,95.31,95.42,94.79,99.66,99.74,94.49,94.49,94.49,94.49
2017,96.23,95.15,95.41,96.57,99.49,99.76,96.18,96.18,96.18,96.18
2018,97.29,94.96,93.52,97.79,99.31,97.79,95.66,95.66,95.66,95.66
2019,97.99,94.75,94.83,98.26,98.96,99.02,97.59,97.59,97.59,97.59
2020,98.62,93.9,93.61,98.87,98.12,97.85,96.3,96.3,96.3,96.3
2021,99.48,91.69,94.21,99.71,95.89,98.55,94.57,94.57,94.57,94.57
2022,99.0,95.17,95.25,99.2,99.51,99.6,98.89,98.89,98.89,98.89
2023,98.15,94.85,95.04,98.48,98.92,99.38,97.17,97.17,97.17,97.17
2024,89.3,0.0,0.0,91.05,0.01,0.01,0.01,0.01,0.01,0.01
2025,61.89,0.0,0.0,62.74,0.0,0.0,0.0,0.0,0.0,0.0
