,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,0.0,99.87,99.88,0.0,99.87,99.87,0.0,0.0,0.0,0.0
2006,78.33,99.46,99.24,79.04,99.46,99.24,78.81,78.81,78.81,78.81
2007,94.83,98.89,98.87,95.24,98.88,98.86,95.18,95.18,95.18,95.18
2008,75.99,96.49,96.49,76.68,96.48,96.48,76.66,76.66,76.66,76.66
2009,88.96,59.58,89.73,89.66,59.58,90.25,59.19,59.19,59.19,59.19
2010,93.92,95.75,90.59,94.81,95.76,94.51,93.39,93.39,93.39,93.39
2011,42.54,90.46,86.75,40.77,90.5,90.52,40.76,40.76,40.76,40.76
2012,31.78,80.06,87.93,29.55,80.12,91.76,19.95,19.95,19.95,19.95
2013,88.58,85.93,94.35,88.7,85.97,98.47,76.12,76.12,76.12,76.12
2014,96.71,95.68,93.18,96.87,95.73,97.29,95.11,95.11,95.11,95.11
2015,63.1,94.02,95.01,63.73,94.25,97.02,62.31,62.31,62.31,62.31
2016,91.02,92.0,95.61,91.46,94.57,96.55,87.23,87.23,87.23,87.23
2017,93.98,94.37,94.4,94.54,98.67,98.71,93.41,93.41,93.41,93.41
2018,0.02,98.13,97.98,0.03,99.22,99.04,0.03,0.03,0.03,0.03
2019,99.8,99.58,96.8,99.91,99.66,96.87,96.83,96.83,96.83,96.83
2020,98.99,99.58,98.87,99.11,99.6,98.94,98.14,98.14,98.14,98.14
2021,99.82,99.62,99.57,99.87,99.65,99.64,99.64,99.64,99.64,99.64
2022,98.31,99.65,99.65,98.34,99.7,99.7,98.11,98.11,98.11,98.11
2023,97.34,99.27,99.09,97.36,99.3,99.14,96.83,96.83,96.83,96.83
2024,94.48,94.48,94.48,94.81,94.83,94.85,94.53,94.53,94.53,94.53
2025,82.23,82.48,82.47,82.38,82.9,82.9,82.18,82.18,82.18,82.18
