,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.25,94.41,94.67,98.52,98.61,98.92,97.15,97.15,97.15,97.15
2006,97.33,82.3,88.89,97.64,85.94,92.83,77.93,77.93,77.93,77.93
2007,93.77,92.9,94.03,93.93,96.98,98.15,89.84,89.84,89.84,89.84
2008,96.68,83.49,90.58,96.86,87.24,94.6,82.15,82.15,82.15,82.15
2009,40.07,92.08,91.71,40.08,96.17,95.76,35.88,35.88,35.88,35.88
2010,92.99,92.55,94.4,93.93,96.61,98.56,89.58,89.58,89.58,89.58
2011,96.94,92.89,96.16,96.98,96.72,99.18,93.6,93.6,93.6,93.6
2012,97.28,94.56,98.94,97.4,98.78,99.12,95.68,95.68,95.68,95.68
2013,97.58,93.76,97.75,97.84,98.37,98.49,95.72,95.72,95.72,95.72
2014,97.99,97.7,99.27,98.16,98.9,99.46,96.87,96.87,96.87,96.87
2015,92.82,96.34,97.5,92.99,96.48,97.68,91.21,91.21,91.21,91.21
2016,94.24,98.44,98.45,94.42,98.58,98.69,92.27,92.27,92.27,92.27
2017,0.02,97.18,97.66,0.03,97.29,97.79,0.03,0.03,0.03,0.03
2018,97.12,97.27,95.15,97.16,97.4,95.28,93.52,93.52,93.52,93.52
2019,99.84,98.93,99.23,99.84,99.15,99.42,98.71,98.71,98.71,98.71
2020,94.95,98.22,98.51,94.99,98.39,98.7,93.24,93.24,93.24,93.24
2021,92.47,98.32,96.54,92.49,98.48,96.74,89.31,89.31,89.31,89.31
2022,99.28,98.83,99.01,99.29,99.0,99.16,98.65,98.65,98.65,98.65
2023,0.75,91.07,99.04,0.75,91.32,99.23,0.75,0.75,0.75,0.75
2024,98.94,0.0,98.58,99.34,0.01,98.98,0.01,0.01,0.01,0.01
2025,81.18,0.0,78.99,81.32,0.0,79.13,0.0,0.0,0.0,0.0
