,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,99.64,69.39,99.48,99.72,69.44,99.54,69.12,69.12,69.12,69.12
2006,99.47,99.7,99.69,99.61,99.92,99.93,99.58,99.58,99.58,99.58
2007,97.02,98.07,98.09,97.15,98.09,98.11,97.08,97.08,97.08,97.08
2008,99.11,99.16,99.83,99.22,99.2,99.9,98.48,98.48,98.48,98.48
2009,98.61,93.41,96.57,98.75,93.52,96.69,89.5,89.54,89.5,89.54
2010,99.0,99.19,99.2,99.13,99.24,99.25,99.12,99.12,99.12,99.12
2011,98.49,99.52,99.52,98.65,99.57,99.54,98.63,98.63,98.63,98.63
2012,93.82,99.59,99.8,94.19,99.65,99.88,93.98,93.98,93.98,93.98
2013,99.05,99.3,99.65,99.12,99.52,99.9,98.79,98.79,98.79,98.79
2014,98.39,99.01,99.02,98.46,99.67,99.71,98.43,98.43,98.43,98.43
2015,95.81,99.0,98.87,95.81,99.6,99.47,95.68,95.68,95.68,95.68
2016,99.02,98.68,98.76,99.08,99.28,99.36,98.71,98.71,98.71,98.71
2017,99.53,99.18,99.34,99.56,99.4,99.55,99.22,99.22,99.22,99.22
2018,99.55,99.68,99.66,99.62,99.72,99.72,99.55,99.55,99.55,99.55
2019,98.8,98.5,98.73,98.84,98.59,98.79,98.47,98.47,98.47,98.47
2020,99.59,96.93,99.67,99.66,97.08,99.74,97.03,97.03,97.03,97.03
2021,99.26,94.56,99.58,99.28,94.6,99.62,94.25,94.25,94.25,94.25
2022,99.61,99.82,99.82,99.64,99.85,99.85,99.62,99.62,99.62,99.62
2023,58.22,99.36,99.34,58.24,99.56,99.56,58.14,58.14,58.14,58.14
2024,96.17,96.06,95.94,97.09,97.67,97.46,96.98,96.98,96.98,96.98
2025,74.57,74.22,74.08,74.59,74.72,74.5,74.48,74.48,74.48,74.48
