,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,98.79,0.0,93.8,98.94,0.0,97.9,0.0,0.19,0.0,0.19
2006,93.16,0.0,94.64,93.3,0.0,98.77,0.0,0.0,0.0,0.0
2007,96.26,0.0,94.2,96.44,0.0,98.3,0.0,0.19,0.0,0.19
2008,30.85,0.0,95.42,30.86,0.0,99.82,0.0,0.06,0.0,0.06
2009,99.78,0.0,92.88,99.86,0.0,96.99,0.0,0.0,0.0,0.0
2010,99.27,0.0,95.49,99.28,0.0,99.66,0.0,0.0,0.0,0.0
2011,97.95,0.0,96.48,98.09,0.0,99.45,0.0,0.0,0.0,0.0
2012,97.52,0.0,98.16,97.62,0.0,98.2,0.0,0.0,0.0,0.0
2013,99.72,0.0,99.73,99.89,0.0,99.79,0.0,0.0,0.0,0.0
2014,97.11,0.0,99.84,97.25,0.0,99.86,0.0,0.0,0.0,0.0
2015,97.91,0.0,99.48,98.11,0.0,99.52,0.0,0.0,0.0,0.0
2016,97.03,0.0,99.69,97.43,0.0,99.81,0.0,0.0,0.0,0.0
2017,96.03,0.0,99.02,96.29,0.0,99.15,0.0,0.0,0.0,0.0
2018,90.64,0.0,99.62,90.74,0.0,99.66,0.0,0.0,0.0,0.0
2019,98.52,0.0,99.67,98.57,0.0,99.74,0.0,0.0,0.0,0.0
2020,99.36,0.0,99.04,99.4,0.0,99.08,0.0,0.0,0.0,0.0
2021,99.82,0.0,98.24,99.87,0.0,98.33,0.0,0.0,0.0,0.0
2022,15.0,0.0,15.2,15.01,0.0,15.24,0.0,0.0,0.0,0.0
2023,0.7,0.0,78.33,0.69,0.0,78.35,0.0,0.0,0.0,0.0
2024,98.4,0.0,98.25,98.73,0.0,98.6,0.0,0.0,0.0,0.0
2025,81.18,0.0,79.25,81.35,0.0,79.42,0.0,0.0,0.0,0.0
