,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,84.54,98.58,98.28,84.88,98.71,98.46,83.47,83.47,83.47,83.47
2006,94.96,99.78,97.74,95.79,99.88,97.91,93.8,93.8,93.8,93.8
2007,98.94,0.02,99.73,99.35,0.03,99.87,0.03,0.03,0.03,0.03
2008,78.53,98.07,99.05,79.74,98.66,99.63,78.33,78.33,78.33,78.33
2009,35.26,98.26,94.55,35.32,98.55,94.95,34.77,34.77,34.77,34.77
2010,0.01,99.64,99.63,0.0,100.0,99.93,0.0,0.0,0.0,0.0
2011,99.04,99.79,93.82,99.07,99.88,93.93,92.97,92.97,92.97,92.97
2012,91.3,96.88,96.76,91.48,97.02,96.92,90.52,90.52,90.52,90.52
2013,94.21,96.38,88.67,94.9,96.65,89.0,86.85,86.85,86.85,86.85
2014,93.07,95.59,96.06,93.85,95.89,96.36,93.37,93.37,93.37,93.37
2015,94.95,96.13,96.35,95.18,96.26,96.5,94.84,94.84,94.84,94.84
2016,93.46,98.94,98.91,93.92,98.98,98.97,93.8,93.8,93.8,93.8
2017,87.59,99.62,79.65,87.99,99.68,79.7,72.53,72.53,72.53,72.53
2018,91.35,98.94,98.57,92.02,98.98,98.66,91.68,91.68,91.68,91.68
2019,17.2,85.71,98.24,17.21,85.76,98.27,6.15,6.15,6.15,6.15
2020,99.87,86.31,99.81,99.88,86.31,99.86,86.29,86.29,86.29,86.29
2021,99.9,99.75,98.64,99.98,99.78,98.79,98.71,98.71,98.71,98.71
2022,94.51,94.55,81.18,94.54,94.58,81.21,81.0,81.0,81.0,81.0
2023,18.43,99.67,99.62,18.42,99.85,99.85,18.4,18.4,18.4,18.4
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
