,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,99.28,0.0,0.0,99.48,0.0,0.0,0.0,0.0,0.0,0.0
2012,99.38,0.0,45.11,99.78,0.0,45.22,0.0,0.0,0.0,0.0
2013,98.82,0.0,67.7,99.31,0.0,67.76,0.0,0.0,0.0,0.0
2014,96.31,0.0,74.05,96.4,0.0,74.15,0.0,0.0,0.0,0.0
2015,48.77,0.0,58.24,49.12,0.0,58.24,0.0,0.0,0.0,0.0
2016,88.56,0.0,77.22,88.57,0.0,77.24,0.0,0.0,0.0,0.0
2017,98.02,0.0,99.96,98.06,0.0,100.0,0.0,0.0,0.0,0.0
2018,92.34,0.0,99.32,92.38,0.0,99.32,0.0,0.0,0.0,0.0
2019,97.63,0.0,0.01,97.66,0.0,0.02,0.0,0.0,0.0,0.0
2020,17.22,0.0,0.0,17.24,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
