,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2005,80.82,64.32,81.65,81.03,65.27,82.99,60.81,60.86,60.81,60.86
2006,82.54,68.07,79.8,82.86,69.04,81.31,66.35,66.36,66.35,66.36
2007,85.28,66.73,79.9,85.56,67.68,81.27,62.5,62.52,62.5,62.52
2008,83.51,74.24,84.96,83.85,75.27,86.4,71.73,71.73,71.73,71.73
2009,77.76,66.12,84.03,78.06,67.03,85.18,59.1,59.11,59.1,59.11
2010,83.22,70.83,80.98,83.67,71.86,82.53,64.73,64.73,64.73,64.73
2011,87.25,68.59,80.87,87.78,69.55,82.11,65.46,65.46,65.46,65.46
2012,87.09,73.58,83.26,87.51,74.43,84.05,66.91,66.92,66.91,66.92
2013,91.71,76.26,84.46,92.04,77.14,85.37,73.42,73.42,73.42,73.42
2014,90.01,80.51,89.51,90.27,81.62,90.7,76.33,76.33,76.33,76.33
2015,90.25,80.22,90.87,90.48,81.34,92.04,75.38,75.38,75.38,75.38
2016,94.02,82.92,93.12,94.21,84.17,94.38,79.35,79.36,79.35,79.36
2017,91.91,82.68,94.71,92.09,83.98,96.05,77.66,77.66,77.66,77.66
2018,91.7,85.3,94.76,91.84,86.51,95.99,78.67,78.67,78.67,78.67
2019,86.79,82.72,89.79,86.89,83.91,91.01,70.0,70.0,70.0,70.0
2020,92.5,83.21,90.09,92.61,84.51,91.37,78.61,78.61,78.61,78.61
2021,92.79,83.01,87.14,92.87,84.34,88.44,80.64,80.64,80.64,80.64
2022,70.76,83.01,84.91,70.81,84.3,86.26,59.19,59.2,59.19,59.2
2023,74.28,80.24,88.41,74.34,81.47,89.75,69.06,69.06,69.06,69.06
2024,82.1,61.13,76.82,82.82,62.51,78.51,60.82,60.82,60.82,60.82
2025,60.27,47.45,57.68,60.41,48.28,58.63,43.74,43.75,43.74,43.75
