,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,99.58,98.47,99.17,99.58,98.89,99.31,98.89,98.89,98.89,98.89
2003-02-01,93.99,93.99,94.3,94.3,94.3,94.3,94.3,94.3,94.3,94.3
2003-03-01,100.0,98.06,99.58,100.0,98.61,99.58,98.61,98.61,98.61,98.61
2003-04-01,98.85,0.29,99.57,98.85,0.43,99.57,0.43,0.43,0.43,0.43
2003-05-01,91.68,74.2,91.82,91.82,74.34,91.82,73.09,73.09,73.09,73.09
2003-06-01,99.43,91.68,99.28,99.43,92.68,99.43,92.68,92.83,92.68,92.83
2003-07-01,99.86,99.45,99.72,100.0,99.58,100.0,99.58,99.58,99.58,99.58
2003-08-01,99.31,42.3,96.53,99.45,42.72,96.67,42.72,43.55,42.72,43.55
2003-09-01,100.0,59.97,99.86,100.0,60.26,100.0,60.26,60.26,60.26,60.26
2003-10-01,99.03,66.02,99.72,99.17,66.02,99.72,66.02,66.02,66.02,66.02
2003-11-01,100.0,69.01,99.86,100.0,68.29,100.0,68.29,68.29,68.29,68.29
2003-12-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2004-01-01,99.58,99.72,99.72,99.58,99.72,99.72,99.58,99.58,99.58,99.58
2004-02-01,100.0,99.55,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-03-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-04-01,99.57,99.43,99.57,99.71,99.43,99.71,99.43,99.43,99.43,99.43
2004-05-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-06-01,99.57,99.86,99.86,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2004-07-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-08-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-09-01,99.57,96.41,99.86,99.71,96.41,100.0,96.41,96.41,96.41,96.41
2004-10-01,99.86,99.86,98.34,100.0,100.0,98.34,98.34,98.34,98.34,98.34
2004-11-01,100.0,98.71,99.86,100.0,99.28,100.0,99.28,99.28,99.28,99.28
2004-12-01,93.9,72.54,94.59,94.04,72.95,94.73,72.26,72.26,72.26,72.26
2005-01-01,100.0,88.07,100.0,100.0,88.07,100.0,88.07,88.07,88.07,88.07
2005-02-01,99.69,99.38,99.69,99.69,99.38,99.69,99.38,99.38,99.38,99.38
2005-03-01,100.0,98.47,99.86,100.0,98.61,100.0,98.61,98.61,98.61,98.61
2005-04-01,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2005-05-01,99.72,99.58,99.72,99.72,99.72,100.0,99.72,99.72,99.72,99.72
2005-06-01,99.57,100.0,100.0,99.57,100.0,100.0,99.57,99.86,99.57,99.86
2005-07-01,99.03,99.45,98.2,99.31,99.58,98.34,98.06,98.06,98.06,98.06
2005-08-01,92.93,93.07,93.07,93.07,93.07,93.07,93.07,93.07,93.07,93.07
2005-09-01,99.14,99.86,99.86,99.43,100.0,100.0,99.43,99.43,99.43,99.43
2005-10-01,99.58,99.72,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-11-01,98.42,99.14,99.28,98.42,99.14,99.43,98.42,98.42,98.42,98.42
2005-12-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-01-01,100.0,94.31,99.17,100.0,94.45,99.31,94.45,94.45,94.45,94.45
2006-02-01,99.69,99.54,99.54,99.69,99.69,99.69,99.69,99.69,99.69,99.69
2006-03-01,99.58,99.72,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-04-01,98.85,99.28,99.28,99.0,99.43,99.43,99.0,99.0,99.0,99.0
2006-05-01,100.0,99.72,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-06-01,99.71,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-07-01,99.58,99.58,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2006-08-01,99.58,99.58,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2006-09-01,99.71,99.86,99.43,99.71,100.0,99.57,99.28,99.28,99.28,99.28
2006-10-01,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2006-11-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-12-01,98.89,99.72,99.72,98.89,99.72,99.72,98.89,98.89,98.89,98.89
2007-01-01,99.72,99.72,99.86,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2007-02-01,99.54,99.85,99.85,99.69,100.0,100.0,99.69,99.69,99.69,99.69
2007-03-01,99.03,99.45,99.72,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2007-04-01,99.86,99.71,99.86,100.0,99.71,100.0,99.71,99.71,99.71,99.71
2007-05-01,98.89,99.45,99.58,99.03,99.72,99.72,99.03,99.03,99.03,99.03
2007-06-01,98.57,99.86,99.86,99.57,100.0,100.0,99.57,99.86,99.57,99.86
2007-07-01,99.58,99.72,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-08-01,97.23,99.86,99.31,98.34,100.0,99.45,97.78,97.78,97.78,97.78
2007-09-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-10-01,98.2,99.86,99.86,98.89,100.0,100.0,98.89,98.89,98.89,98.89
2007-11-01,96.56,96.41,96.41,96.56,96.56,96.56,96.56,96.56,96.56,96.56
2007-12-01,98.89,99.72,99.58,99.58,100.0,99.72,99.58,99.58,99.58,99.58
2008-01-01,99.31,99.58,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2008-02-01,99.11,100.0,100.0,99.85,100.0,100.0,99.85,99.85,99.85,99.85
2008-03-01,98.61,99.17,99.31,98.89,99.31,99.45,98.75,98.75,98.75,98.75
2008-04-01,98.57,98.13,98.71,98.71,98.57,98.71,98.57,98.57,98.57,98.57
2008-05-01,98.06,100.0,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2008-06-01,99.14,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2008-07-01,99.17,99.86,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2008-08-01,97.5,99.58,99.72,99.58,99.72,99.72,99.58,99.58,99.58,99.58
2008-09-01,99.0,99.57,100.0,99.71,99.71,100.0,99.43,99.43,99.43,99.43
2008-10-01,97.23,99.72,99.72,98.34,99.72,99.72,98.34,98.34,98.34,98.34
2008-11-01,99.57,100.0,100.0,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2008-12-01,99.03,99.72,99.72,99.31,99.72,99.72,99.31,99.31,99.31,99.31
2009-01-01,99.03,99.72,99.72,99.03,99.72,99.72,99.03,99.03,99.03,99.03
2009-02-01,99.23,100.0,100.0,99.69,100.0,100.0,99.69,99.69,99.69,99.69
2009-03-01,98.2,99.45,99.45,98.34,99.45,99.45,98.34,98.34,98.34,98.34
2009-04-01,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2009-05-01,99.45,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2009-06-01,97.7,100.0,100.0,97.99,100.0,100.0,97.99,97.99,97.99,97.99
2009-07-01,99.58,99.72,99.86,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2009-08-01,97.5,100.0,100.0,98.61,100.0,100.0,98.61,98.75,98.61,98.75
2009-09-01,96.13,100.0,100.0,97.7,100.0,100.0,97.7,97.7,97.7,97.7
2009-10-01,99.31,99.72,99.72,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2009-11-01,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-12-01,99.45,95.28,99.72,99.45,95.28,99.72,95.01,95.01,95.01,95.01
2010-01-01,99.03,100.0,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2010-02-01,99.23,99.69,99.69,99.54,99.69,99.69,99.54,99.54,99.54,99.54
2010-03-01,97.36,99.31,99.31,98.06,99.31,99.31,98.06,98.06,98.06,98.06
2010-04-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-05-01,99.58,100.0,100.0,99.86,100.0,100.0,99.86,99.86,99.86,99.86
2010-06-01,95.12,99.57,99.57,95.7,99.57,99.57,95.7,95.7,95.7,95.7
2010-07-01,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-08-01,96.81,100.0,100.0,97.64,100.0,100.0,97.64,97.64,97.64,97.64
2010-09-01,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-10-01,99.58,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-11-01,99.57,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-12-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-01-01,99.03,99.86,100.0,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2011-02-01,99.38,99.69,99.69,99.38,99.69,99.69,99.38,99.38,99.38,99.38
2011-03-01,99.45,98.61,98.61,99.72,99.17,99.17,99.17,99.17,99.17,99.17
2011-04-01,98.71,99.43,99.43,99.14,100.0,100.0,99.14,99.14,99.14,99.14
2011-05-01,99.45,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-06-01,98.71,99.14,99.14,98.71,99.71,99.71,98.71,98.71,98.71,98.71
2011-07-01,95.01,97.23,97.92,95.15,97.64,98.47,94.17,94.17,94.17,94.17
2011-08-01,98.75,99.31,99.31,99.58,99.72,99.72,99.58,99.58,99.58,99.58
2011-09-01,96.41,97.85,97.99,96.84,98.13,98.13,95.98,95.98,95.98,95.98
2011-10-01,93.9,86.82,98.61,94.04,87.24,99.17,81.83,81.83,81.83,81.83
2011-11-01,99.0,99.28,99.43,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2011-12-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-01-01,99.45,99.31,99.17,99.58,100.0,99.86,99.45,99.45,99.45,99.45
2012-02-01,99.55,99.11,99.11,99.7,99.7,99.7,99.7,99.7,99.7,99.7
