,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,0.0,0.0,99.03,0.0,0.0,98.89,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,99.85,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,99.86,0.0,0.0,100.0,0.0,0.28,0.0,0.28
2003-04-01,46.63,0.0,94.98,46.48,0.0,95.12,0.0,1.0,0.0,1.0
2003-05-01,94.04,0.0,93.76,94.04,0.0,93.76,0.0,0.0,0.0,0.0
2003-06-01,86.8,0.0,90.53,86.8,0.0,90.53,0.0,6.89,0.0,6.89
2003-07-01,95.98,0.0,95.7,96.12,0.0,95.84,0.0,0.55,0.0,0.55
2003-08-01,99.03,0.0,99.17,99.03,0.0,99.17,0.0,0.28,0.0,0.28
2003-09-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2003-10-01,99.31,0.0,99.72,99.31,0.0,99.72,0.0,0.0,0.0,0.0
2003-11-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2003-12-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2004-01-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-02-01,99.11,0.0,99.85,99.11,0.0,100.0,0.0,0.0,0.0,0.0
2004-03-01,99.72,0.0,99.86,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2004-04-01,99.28,0.0,99.28,99.28,0.0,99.28,0.0,0.0,0.0,0.0
2004-05-01,99.03,0.0,99.03,99.03,0.0,99.03,0.0,0.0,0.0,0.0
2004-06-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-07-01,92.65,0.0,95.15,92.93,0.0,95.15,0.0,0.0,0.0,0.0
2004-08-01,99.72,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-09-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-10-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-11-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2004-12-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2005-01-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2005-02-01,99.69,0.0,99.69,99.69,0.0,99.69,0.0,0.0,0.0,0.0
2005-03-01,99.72,0.0,95.98,100.0,0.0,96.39,0.0,0.0,0.0,0.0
2005-04-01,99.57,0.0,99.57,99.71,0.0,99.71,0.0,0.43,0.0,0.43
2005-05-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-06-01,99.28,0.0,99.86,99.57,0.0,100.0,0.0,1.87,0.0,1.87
2005-07-01,99.72,0.0,96.95,99.72,0.0,97.09,0.0,0.14,0.0,0.14
2005-08-01,99.17,0.0,100.0,99.17,0.0,100.0,0.0,1.53,0.0,1.53
2005-09-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.86,0.0,0.86
2005-10-01,99.17,0.0,99.58,99.17,0.0,99.58,0.0,0.0,0.0,0.0
