,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,93.2,24.69,98.47,93.07,24.55,98.47,22.88,22.88,22.88,22.88
2003-02-01,99.23,99.54,99.54,99.23,99.69,99.69,99.23,99.23,99.23,99.23
2003-03-01,99.17,99.58,99.58,99.31,99.72,99.72,99.31,99.31,99.31,99.31
2003-04-01,0.29,99.57,99.57,0.43,99.71,99.71,0.43,0.43,0.43,0.43
2003-05-01,99.17,100.0,99.86,99.03,100.0,100.0,99.03,99.03,99.03,99.03
2003-06-01,96.7,58.82,98.28,97.27,58.97,98.42,58.39,65.71,58.39,65.71
2003-07-01,96.39,0.0,99.86,97.09,0.0,100.0,0.0,4.44,0.0,4.44
2003-08-01,85.99,0.0,94.87,86.41,0.0,95.15,0.0,1.53,0.0,1.53
2003-09-01,99.71,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2003-10-01,94.17,0.0,94.04,94.45,0.0,94.31,0.0,0.0,0.0,0.0
2003-11-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2003-12-01,99.86,0.0,99.72,100.0,0.0,99.72,0.0,0.0,0.0,0.0
2004-01-01,98.89,58.39,99.86,98.89,58.25,100.0,57.7,57.7,57.7,57.7
2004-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-03-01,95.84,99.58,99.72,95.98,99.72,100.0,95.7,95.7,95.7,95.7
2004-04-01,99.0,99.43,99.43,99.28,99.71,99.71,99.28,99.28,99.28,99.28
2004-05-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-06-01,88.81,99.86,99.86,88.81,100.0,100.0,88.81,88.81,88.81,88.81
2004-07-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-08-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-09-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-10-01,100.0,100.0,96.81,100.0,100.0,96.81,96.81,96.81,96.81,96.81
2004-11-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-12-01,99.31,99.72,99.72,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2005-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-02-01,99.85,99.85,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-03-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-04-01,99.14,99.57,99.57,99.14,99.71,99.71,99.14,99.14,99.14,99.14
2005-05-01,100.0,99.72,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,98.57,99.86,99.86,98.71,100.0,100.0,98.71,98.71,98.71,98.71
2005-07-01,97.5,100.0,100.0,98.34,100.0,100.0,98.34,98.34,98.34,98.34
2005-08-01,98.89,100.0,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2005-09-01,93.83,94.12,94.12,94.12,94.4,94.4,94.12,94.12,94.12,94.12
2005-10-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
