,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,98.47,98.2,81.69,98.34,98.06,81.69,81.69,81.69,81.69,81.69
2003-02-01,99.85,99.69,99.54,100.0,99.69,99.69,99.38,99.38,99.38,99.38
2003-03-01,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03,99.03
2003-04-01,99.28,99.14,99.28,99.28,99.14,99.43,99.14,99.14,99.14,99.14
2003-05-01,95.98,99.72,99.58,97.36,99.72,99.58,97.23,97.23,97.23,97.23
2003-06-01,86.37,89.67,91.1,88.95,90.24,91.1,88.09,88.24,88.09,88.24
2003-07-01,95.28,99.17,99.58,95.42,99.58,99.72,95.42,95.7,95.42,95.7
2003-08-01,92.65,95.15,95.28,93.2,95.28,95.28,93.2,93.2,93.2,93.2
2003-09-01,99.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-10-01,95.7,96.39,96.39,96.12,96.39,96.39,95.84,95.84,95.84,95.84
2003-11-01,94.26,94.4,94.26,94.55,94.4,94.26,94.12,94.12,94.12,94.12
2003-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-01-01,91.82,99.31,99.17,91.82,99.31,99.03,91.82,91.82,91.82,91.82
2004-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-03-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2004-04-01,96.13,97.85,97.99,96.13,97.85,97.85,96.13,96.13,96.13,96.13
2004-05-01,99.72,99.45,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2004-06-01,100.0,100.0,99.71,100.0,100.0,99.71,99.71,99.71,99.71,99.71
2004-07-01,99.45,90.01,99.58,99.72,90.15,99.72,90.15,90.15,90.15,90.15
2004-08-01,99.45,99.86,99.86,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2004-09-01,95.7,99.86,99.86,95.84,100.0,100.0,95.84,95.84,95.84,95.84
2004-10-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-11-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-12-01,99.58,99.86,99.58,99.58,100.0,99.58,99.58,99.58,99.58,99.58
2005-01-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2005-02-01,98.77,99.69,94.14,98.92,100.0,94.45,93.84,93.84,93.84,93.84
2005-03-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-04-01,98.57,94.69,98.42,98.57,94.98,98.57,94.98,94.98,94.98,94.98
2005-05-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,98.57,98.57,98.57,98.71,98.71,98.71,98.71,98.71,98.71,98.71
2005-07-01,99.17,99.72,99.72,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2005-08-01,94.59,94.45,94.59,94.73,94.73,94.73,94.73,94.73,94.73,94.73
2005-09-01,99.43,99.86,99.86,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2005-10-01,99.03,99.03,98.75,99.17,99.17,98.75,98.75,98.75,98.75,98.75
2005-11-01,99.86,100.0,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-12-01,99.72,99.86,99.72,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-01-01,100.0,99.72,99.86,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2006-02-01,99.08,99.23,99.23,99.08,99.38,99.38,99.08,99.08,99.08,99.08
2006-03-01,98.89,99.45,96.12,99.45,99.72,96.26,95.98,95.98,95.98,95.98
2006-04-01,99.0,98.85,98.71,99.14,99.14,99.14,99.14,99.14,99.14,99.14
