,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,99.72,98.75,98.75,99.58,98.75,98.61,98.34,98.34,98.34,98.34
2003-02-01,99.54,100.0,100.0,99.54,100.0,100.0,99.54,99.54,99.54,99.54
2003-03-01,100.0,99.72,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-04-01,95.84,97.99,97.99,95.84,98.13,98.13,95.84,95.84,95.84,95.84
2003-05-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-06-01,92.4,99.28,99.43,92.4,99.43,99.43,92.4,93.83,92.4,93.83
2003-07-01,93.07,93.07,93.34,93.2,93.34,93.34,92.93,92.93,92.93,92.93
2003-08-01,91.4,95.42,93.07,91.54,95.42,93.07,91.54,91.54,91.54,91.54
2003-09-01,99.14,99.86,92.25,99.14,100.0,92.4,91.54,91.54,91.54,91.54
2003-10-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-11-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-12-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-01-01,100.0,0.28,99.86,100.0,0.42,100.0,0.42,0.42,0.42,0.42
2004-02-01,99.85,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-03-01,99.03,0.0,99.86,99.03,0.0,100.0,0.0,0.0,0.0,0.0
2004-04-01,99.0,0.0,99.0,99.0,0.0,99.0,0.0,0.0,0.0,0.0
2004-05-01,99.58,0.0,99.58,99.72,0.0,99.72,0.0,0.97,0.0,0.97
2004-06-01,97.99,0.0,99.0,97.99,0.0,99.0,0.0,0.43,0.0,0.43
2004-07-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-08-01,96.39,0.0,99.86,96.39,0.0,100.0,0.0,0.0,0.0,0.0
2004-09-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2004-10-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2004-11-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-12-01,96.26,0.0,100.0,96.26,0.0,100.0,0.0,0.0,0.0,0.0
2005-01-01,93.62,0.0,93.62,93.62,0.0,93.62,0.0,0.0,0.0,0.0
2005-02-01,99.69,0.0,99.69,99.69,0.0,99.69,0.0,0.0,0.0,0.0
2005-03-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2005-04-01,99.43,0.0,99.43,99.43,0.0,99.43,0.0,1.0,0.0,1.0
2005-05-01,98.47,0.0,98.47,98.47,0.0,98.47,0.0,0.69,0.0,0.69
2005-06-01,99.43,0.0,99.86,99.71,0.0,100.0,0.0,6.03,0.0,6.03
2005-07-01,99.03,0.0,100.0,99.31,0.0,100.0,0.0,2.5,0.0,2.5
2005-08-01,99.45,0.0,99.86,99.58,0.0,100.0,0.0,2.22,0.0,2.22
2005-09-01,99.71,0.0,99.57,99.71,0.0,99.71,0.0,1.43,0.0,1.43
2005-10-01,99.58,0.0,99.58,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2005-11-01,99.28,0.0,99.43,99.28,0.0,99.43,0.0,0.0,0.0,0.0
2005-12-01,99.45,0.0,99.72,99.45,0.0,99.72,0.0,0.0,0.0,0.0
2006-01-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2006-02-01,99.85,23.73,99.85,100.0,23.73,100.0,23.73,23.73,23.73,23.73
2006-03-01,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2006-04-01,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12,95.12
2006-05-01,99.45,99.72,96.39,99.72,99.72,96.39,96.39,96.39,96.39,96.39
2006-06-01,98.71,98.85,98.85,98.85,98.85,98.85,98.85,98.85,98.85,98.85
2006-07-01,92.51,93.07,93.07,92.93,93.2,93.2,92.93,92.93,92.93,92.93
2006-08-01,99.31,97.92,99.31,99.31,97.92,99.31,97.92,97.92,97.92,97.92
2006-09-01,99.71,99.71,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-10-01,99.31,99.72,99.72,99.31,99.72,99.72,99.31,99.31,99.31,99.31
2006-11-01,99.43,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-12-01,98.06,98.61,99.72,98.2,98.61,99.72,97.36,97.36,97.36,97.36
2007-01-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-02-01,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38,99.38
2007-03-01,98.61,99.45,99.45,98.61,99.45,99.45,98.61,98.61,98.61,98.61
2007-04-01,94.26,93.97,94.26,94.4,94.12,94.4,94.12,94.12,94.12,94.12
2007-05-01,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17,99.17
2007-06-01,99.57,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2007-07-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-08-01,99.31,99.72,99.72,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2007-09-01,99.57,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2007-10-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-11-01,99.57,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2007-12-01,99.31,99.72,99.72,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2008-01-01,99.31,99.72,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2008-02-01,98.81,100.0,100.0,98.81,100.0,100.0,98.81,98.81,98.81,98.81
2008-03-01,99.45,99.45,84.88,99.45,99.45,84.88,84.88,84.88,84.88,84.88
2008-04-01,100.0,99.71,95.41,100.0,100.0,95.27,95.27,95.27,95.27,95.27
2008-05-01,99.58,99.72,99.72,99.58,99.72,99.72,99.58,99.58,99.58,99.58
2008-06-01,99.0,11.91,99.28,99.28,12.05,99.28,12.05,13.92,12.05,13.92
2008-07-01,99.45,71.29,99.72,99.72,71.15,99.72,71.15,72.68,71.15,72.68
2008-08-01,96.95,99.03,99.03,97.09,99.03,99.03,97.09,97.09,97.09,97.09
2008-09-01,99.0,99.0,99.0,98.85,98.85,98.85,98.85,98.85,98.85,98.85
2008-10-01,99.31,99.31,99.58,99.45,99.45,99.58,99.45,99.45,99.45,99.45
2008-11-01,99.57,99.57,99.71,99.57,99.71,99.71,99.57,99.57,99.57,99.57
2008-12-01,100.0,99.72,100.0,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2009-01-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2009-02-01,98.61,100.0,100.0,98.92,100.0,100.0,98.92,98.92,98.92,98.92
2009-03-01,99.03,99.45,99.45,99.03,99.45,99.45,99.03,99.03,99.03,99.03
2009-04-01,99.14,100.0,100.0,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2009-05-01,99.31,99.72,99.72,99.31,99.72,99.72,99.31,99.31,99.31,99.31
2009-06-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-07-01,99.03,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2009-08-01,92.93,100.0,100.0,93.07,100.0,100.0,93.07,93.48,93.07,93.48
2009-09-01,99.28,99.71,99.71,99.28,99.71,99.71,99.28,99.28,99.28,99.28
2009-10-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-11-01,99.14,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2009-12-01,98.06,100.0,100.0,98.47,100.0,100.0,98.47,98.47,98.47,98.47
2010-01-01,99.31,99.86,99.86,99.58,100.0,100.0,99.58,99.58,99.58,99.58
2010-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-03-01,99.45,96.95,99.58,99.72,97.09,99.72,97.09,97.09,97.09,97.09
2010-04-01,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-05-01,99.72,99.72,90.57,99.72,99.72,90.57,90.57,90.57,90.57,90.57
2010-06-01,99.71,98.71,99.57,100.0,98.85,99.57,98.85,98.85,98.85,98.85
2010-07-01,97.64,100.0,100.0,97.92,100.0,100.0,97.92,97.92,97.92,97.92
2010-08-01,98.34,99.72,99.72,98.34,99.72,99.72,98.34,98.34,98.34,98.34
2010-09-01,99.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-10-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2010-11-01,97.99,99.43,100.0,97.99,99.43,100.0,97.42,97.42,97.42,97.42
2010-12-01,99.17,69.76,99.58,99.17,69.76,99.58,69.35,69.35,69.35,69.35
2011-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-02-01,98.46,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92,98.92
2011-03-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2011-04-01,98.57,98.85,98.85,98.71,98.85,98.85,98.71,98.71,98.71,98.71
2011-05-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-06-01,93.83,94.12,94.12,94.26,94.26,94.26,94.26,94.26,94.26,94.26
2011-07-01,99.03,99.58,99.31,99.45,99.72,99.31,99.03,99.03,99.03,99.03
2011-08-01,98.2,98.61,98.61,98.34,98.61,98.61,98.34,98.34,98.34,98.34
2011-09-01,99.57,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-10-01,99.31,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2011-11-01,99.14,100.0,100.0,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2011-12-01,99.17,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2012-01-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-02-01,98.22,99.11,99.11,98.22,99.11,99.11,98.22,98.22,98.22,98.22
2012-03-01,87.79,99.58,99.58,87.93,99.72,99.72,87.93,87.93,87.93,87.93
2012-04-01,99.28,99.57,99.71,99.43,99.71,99.71,99.43,99.43,99.43,99.43
2012-05-01,98.34,100.0,100.0,99.17,100.0,100.0,99.17,99.17,99.17,99.17
2012-06-01,98.42,99.43,97.85,98.71,99.57,97.99,97.13,97.13,97.13,97.13
2012-07-01,97.23,100.0,93.48,97.64,100.0,93.48,91.12,91.12,91.12,91.12
2012-08-01,99.72,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-09-01,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-10-01,98.61,99.45,99.45,99.17,99.45,99.45,99.17,99.17,99.17,99.17
2012-11-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012-12-01,99.45,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2013-01-01,99.86,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2013-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013-03-01,99.31,99.31,99.31,99.31,99.31,99.31,99.31,99.31,99.31,99.31
2013-04-01,98.71,98.71,98.71,98.71,98.71,98.71,98.71,98.71,98.71,98.71
2013-05-01,93.9,99.72,99.72,93.9,99.72,99.72,93.9,93.9,93.9,93.9
2013-06-01,99.14,100.0,99.14,99.14,100.0,99.14,99.14,99.14,99.14,99.14
2013-07-01,95.28,99.72,99.58,95.28,99.72,99.72,95.28,95.28,95.28,95.28
2013-08-01,94.04,99.03,99.03,94.04,99.03,99.03,94.04,94.04,94.04,94.04
2013-09-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013-10-01,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2013-11-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013-12-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2014-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2014-02-01,99.08,93.07,99.08,99.08,93.22,99.08,93.22,93.22,93.22,93.22
2014-03-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2014-04-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2014-05-01,99.45,98.89,98.89,99.45,98.89,99.03,98.89,98.89,98.89,98.89
2014-06-01,93.26,100.0,99.86,93.4,100.0,100.0,93.4,93.4,93.4,93.4
2014-07-01,96.39,99.45,99.45,96.26,99.45,99.45,96.26,96.26,96.26,96.26
2014-08-01,98.89,99.72,99.72,98.89,99.72,99.72,98.89,98.89,98.89,98.89
2014-09-01,97.13,97.7,97.7,97.13,97.7,97.7,95.41,95.41,95.41,95.41
2014-10-01,99.72,99.17,99.17,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2014-11-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2014-12-01,99.72,99.17,99.17,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2015-01-01,94.73,94.17,94.04,94.73,94.59,94.59,94.59,94.59,94.59,94.59
2015-02-01,100.0,99.38,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-03-01,99.31,98.75,98.75,99.31,99.31,99.31,99.31,99.31,99.31,99.31
2015-04-01,95.27,99.43,99.43,95.27,100.0,100.0,95.27,95.27,95.27,95.27
2015-05-01,99.58,98.34,99.31,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2015-06-01,99.57,98.13,99.28,99.57,99.86,100.0,99.43,99.43,99.43,99.43
2015-07-01,99.86,99.17,99.17,100.0,99.72,99.72,99.72,99.72,99.72,99.72
2015-08-01,100.0,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-09-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-10-01,99.72,98.89,98.89,99.72,99.58,99.58,99.58,99.58,99.58,99.58
2015-11-01,99.57,95.41,98.85,99.57,96.13,99.57,96.13,96.13,96.13,96.13
2015-12-01,100.0,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-01-01,100.0,95.42,99.17,100.0,95.98,99.72,95.98,95.98,95.98,95.98
2016-02-01,90.04,97.47,97.33,91.23,98.51,98.51,91.23,91.23,91.23,91.23
2016-03-01,79.89,93.34,93.62,90.71,96.95,97.5,90.15,90.15,90.15,90.15
2016-04-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-05-01,99.86,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-06-01,99.43,99.0,99.0,99.43,99.57,99.57,99.28,99.28,99.28,99.28
2016-07-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-08-01,99.86,99.17,96.95,100.0,99.72,97.36,97.36,97.36,97.36,97.36
2016-09-01,99.28,98.71,98.57,99.28,99.28,99.28,99.28,99.28,99.28,99.28
2016-10-01,100.0,98.89,98.89,100.0,99.58,99.58,99.58,99.58,99.58,99.58
2016-11-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016-12-01,92.51,91.96,91.96,92.65,92.65,92.65,92.65,92.65,92.65,92.65
2017-01-01,98.89,98.75,98.75,98.89,99.45,99.45,98.89,98.89,98.89,98.89
2017-02-01,100.0,99.38,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-03-01,99.31,99.03,99.03,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2017-04-01,98.42,99.43,99.43,98.42,100.0,100.0,98.42,98.42,98.42,98.42
2017-05-01,99.45,99.03,99.03,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2017-06-01,99.57,99.0,99.0,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2017-07-01,99.72,99.03,98.89,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2017-08-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-09-01,99.57,98.71,98.85,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2017-10-01,100.0,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-11-01,100.0,99.43,99.14,100.0,100.0,99.71,99.71,99.71,99.71,99.71
2017-12-01,99.58,99.03,98.89,99.58,99.58,99.58,99.58,99.58,99.58,99.58
2018-01-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-02-01,92.91,98.92,98.92,92.91,99.54,99.54,92.91,92.91,92.91,92.91
2018-03-01,99.72,99.31,99.31,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2018-04-01,100.0,99.14,99.14,100.0,99.71,100.0,99.71,99.71,99.71,99.71
2018-05-01,99.45,97.78,98.75,99.45,98.34,99.31,98.34,98.34,98.34,98.34
2018-06-01,98.13,95.98,97.56,98.13,96.41,98.13,96.41,96.41,96.41,96.41
2018-07-01,99.72,99.03,99.31,99.72,99.86,100.0,99.58,99.58,99.58,99.58
2018-08-01,99.45,98.75,98.75,99.45,99.31,99.31,99.31,99.31,99.31,99.31
2018-09-01,99.57,98.85,98.85,99.57,99.43,99.43,99.43,99.43,99.43,99.43
2018-10-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-11-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-12-01,99.72,98.89,99.03,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2019-01-01,100.0,98.47,99.31,100.0,99.03,100.0,99.03,99.03,99.03,99.03
2019-02-01,100.0,99.38,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-03-01,99.31,99.03,99.03,99.31,99.45,99.45,99.31,99.31,99.31,99.31
2019-04-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-05-01,96.67,95.98,95.98,96.67,96.67,96.67,96.67,96.67,96.67,96.67
2019-06-01,99.71,99.14,99.28,99.71,99.71,100.0,99.57,99.57,99.57,99.57
2019-07-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-08-01,100.0,99.45,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-09-01,98.28,98.85,98.85,98.28,99.57,99.71,98.28,98.28,98.28,98.28
2019-10-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2019-11-01,96.41,95.55,95.55,96.56,96.13,96.27,95.84,95.84,95.84,95.84
2019-12-01,100.0,99.31,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-01-01,100.0,99.45,99.31,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-01,99.41,98.51,98.66,99.41,99.11,99.11,99.11,99.11,99.11,99.11
2020-03-01,99.72,99.03,96.95,99.72,99.72,97.5,97.5,97.5,97.5,97.5
2020-04-01,89.67,89.1,89.1,89.96,89.96,89.96,89.96,89.96,89.96,89.96
2020-05-01,82.8,82.25,82.25,83.08,83.08,83.08,83.08,83.08,83.08,83.08
2020-06-01,91.25,91.39,91.39,91.82,92.68,92.68,91.82,91.82,91.82,91.82
2020-07-01,82.25,82.94,82.94,82.66,83.77,83.77,82.66,82.66,82.66,82.66
2020-08-01,97.09,98.61,98.61,97.09,99.17,99.17,97.09,97.09,97.09,97.09
2020-09-01,100.0,99.43,99.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-10-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-11-01,99.57,98.71,99.0,99.71,99.43,99.71,99.43,99.43,99.43,99.43
2020-12-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-01-01,100.0,99.45,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-02-01,100.0,99.38,99.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0
