,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,99.72,0.0,99.72,99.58,0.0,99.58,0.0,0.0,0.0,0.0
2004-02-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-03-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-04-01,95.12,0.0,99.57,95.12,0.0,99.71,0.0,0.0,0.0,0.0
2004-05-01,99.45,0.0,99.45,99.45,0.0,99.45,0.0,0.0,0.0,0.0
2004-06-01,99.71,0.0,99.71,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2004-07-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-08-01,95.01,0.0,95.28,95.28,0.0,95.28,0.0,0.0,0.0,0.0
2004-09-01,99.71,0.0,100.0,99.71,0.0,100.0,0.0,1.29,0.0,1.29
2004-10-01,99.58,0.0,99.72,99.58,0.0,99.72,0.0,0.0,0.0,0.0
2004-11-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-12-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-01-01,99.72,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2005-02-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-03-01,99.86,0.0,99.72,100.0,0.0,99.72,0.0,0.0,0.0,0.0
2005-04-01,98.71,34.29,99.0,98.71,34.15,99.0,34.15,34.15,34.15,34.15
2005-05-01,99.72,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-06-01,99.43,99.43,99.71,99.43,99.71,99.71,99.43,99.43,99.43,99.43
2005-07-01,99.72,100.0,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2005-08-01,99.72,99.86,99.72,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-09-01,99.71,99.71,96.7,99.71,99.71,96.7,96.7,96.7,96.7,96.7
2005-10-01,99.86,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-11-01,99.28,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2005-12-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-01-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-02-01,99.23,99.54,99.23,99.69,100.0,99.85,99.54,99.54,99.54,99.54
2006-03-01,98.61,99.17,99.03,98.75,99.45,99.45,98.75,98.75,98.75,98.75
2006-04-01,94.84,95.27,95.27,94.84,95.27,95.27,94.84,94.84,94.84,94.84
2006-05-01,99.17,99.86,99.86,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2006-06-01,99.71,99.71,99.86,99.71,99.71,100.0,99.71,99.71,99.71,99.71
2006-07-01,99.45,99.45,99.45,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2006-08-01,99.45,99.72,99.72,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2006-09-01,99.71,100.0,100.0,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2006-10-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-11-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-12-01,99.58,99.58,99.72,99.58,99.72,99.72,99.31,99.31,99.31,99.31
2007-01-01,99.58,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-02-01,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-03-01,98.47,98.89,98.89,98.47,98.89,98.89,98.47,98.47,98.47,98.47
2007-04-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2007-05-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2007-06-01,99.57,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2007-07-01,79.75,79.47,79.89,79.75,79.47,79.89,79.33,79.33,79.33,79.33
2007-08-01,99.58,99.31,99.45,99.58,99.31,99.45,99.31,99.31,99.31,99.31
2007-09-01,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-10-01,99.03,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
2007-11-01,99.57,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2007-12-01,87.93,98.61,98.61,88.21,98.61,98.61,88.21,88.21,88.21,88.21
2008-01-01,99.45,100.0,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
