,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,99.72,0.0,99.72,99.58,0.0,99.58,0.0,0.0,0.0,0.0
2003-02-01,99.85,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2003-03-01,100.0,0.0,99.45,100.0,0.0,99.72,0.0,0.0,0.0,0.0
2003-04-01,99.43,0.0,99.43,99.71,0.0,99.71,0.0,1.0,0.0,1.0
2003-05-01,98.47,0.0,100.0,99.31,0.0,100.0,0.0,0.14,0.0,0.14
2003-06-01,95.7,63.13,99.43,98.13,63.41,99.43,62.12,62.41,62.12,62.41
2003-07-01,90.98,11.93,91.12,91.12,12.21,91.4,3.33,3.47,3.33,3.47
2003-08-01,96.81,0.0,93.76,96.81,0.0,94.04,0.0,2.22,0.0,2.22
2003-09-01,99.86,0.0,91.82,100.0,0.0,92.11,0.0,0.0,0.0,0.0
2003-10-01,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2003-11-01,99.43,0.0,99.71,99.43,0.0,100.0,0.0,0.0,0.0,0.0
2003-12-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-01-01,99.58,0.0,99.86,99.58,0.0,100.0,0.0,0.0,0.0,0.0
2004-02-01,100.0,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-03-01,99.45,0.0,99.86,99.45,0.0,100.0,0.0,0.0,0.0,0.0
2004-04-01,99.43,0.0,99.57,99.71,0.0,99.71,0.0,0.0,0.0,0.0
2004-05-01,99.86,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-06-01,99.28,0.0,99.86,99.43,0.0,100.0,0.0,0.29,0.0,0.29
2004-07-01,100.0,0.0,99.58,100.0,0.0,99.72,0.0,0.0,0.0,0.0
2004-08-01,99.72,0.0,100.0,99.72,0.0,100.0,0.0,0.0,0.0,0.0
2004-09-01,99.71,0.0,99.71,99.71,0.0,100.0,0.0,0.43,0.0,0.43
2004-10-01,100.0,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2004-11-01,99.71,0.0,99.86,99.71,0.0,100.0,0.0,0.0,0.0,0.0
2004-12-01,100.0,0.0,99.86,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-01-01,99.45,0.0,99.86,99.45,0.0,100.0,0.0,0.0,0.0,0.0
2005-02-01,100.0,0.0,99.85,100.0,0.0,100.0,0.0,0.0,0.0,0.0
2005-03-01,99.45,66.44,99.72,99.45,66.3,99.72,66.3,66.3,66.3,66.3
2005-04-01,99.57,74.89,99.57,99.71,74.89,99.71,74.89,75.32,74.89,75.32
2005-05-01,99.17,99.72,99.72,99.17,99.72,99.72,99.17,99.17,99.17,99.17
2005-06-01,99.0,99.57,99.57,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2005-07-01,98.06,99.45,99.45,98.75,99.45,99.45,98.75,98.75,98.75,98.75
2005-08-01,98.75,99.86,99.86,99.17,100.0,100.0,99.17,99.17,99.17,99.17
2005-09-01,99.43,99.86,99.86,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2005-10-01,99.03,99.72,99.72,99.17,99.72,99.72,99.17,99.17,99.17,99.17
2005-11-01,98.28,99.28,93.11,98.57,99.28,93.11,92.4,92.4,92.4,92.4
2005-12-01,99.17,99.58,99.58,99.31,99.72,99.72,99.31,99.31,99.31,99.31
2006-01-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-02-01,99.54,99.69,99.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-03-01,99.31,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2006-04-01,98.85,98.85,98.85,99.0,99.0,99.0,99.0,99.0,99.0,99.0
2006-05-01,98.89,99.31,99.31,99.17,99.45,99.45,99.17,99.17,99.17,99.17
2006-06-01,98.71,99.86,99.71,99.0,100.0,100.0,99.0,99.0,99.0,99.0
2006-07-01,94.31,94.73,94.73,94.59,94.87,94.87,94.59,94.59,94.59,94.59
2006-08-01,99.17,99.31,99.31,99.58,99.58,99.58,99.17,99.17,99.17,99.17
2006-09-01,99.57,99.71,99.86,99.71,99.71,100.0,99.43,99.43,99.43,99.43
