,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,99.45,99.45,99.31,99.31,99.31,99.31,99.03,99.03,99.03,99.03
2003-02-01,99.38,99.85,99.85,99.38,100.0,100.0,99.38,99.38,99.38,99.38
2003-03-01,96.53,97.92,97.92,96.67,98.06,98.06,96.67,96.67,96.67,96.67
2003-04-01,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57,99.57
2003-05-01,99.45,97.64,99.86,99.45,97.64,100.0,97.09,97.09,97.09,97.09
2003-06-01,99.43,98.85,98.85,99.43,98.85,98.85,98.85,98.85,98.85,98.85
2003-07-01,100.0,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-08-01,81.69,82.94,81.55,81.83,83.08,81.83,81.83,81.83,81.83,81.83
2003-09-01,99.28,100.0,99.86,99.28,100.0,100.0,99.28,99.28,99.28,99.28
2003-10-01,96.39,99.72,99.72,96.39,99.72,99.72,96.39,96.39,96.39,96.39
2003-11-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003-12-01,99.58,85.71,99.86,99.58,85.99,100.0,85.58,85.58,85.58,85.58
2004-01-01,99.72,11.79,99.72,99.72,11.65,99.72,11.65,11.65,11.65,11.65
2004-02-01,99.7,90.79,99.7,99.7,91.23,99.7,91.23,91.23,91.23,91.23
2004-03-01,99.72,99.72,99.72,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2004-04-01,99.71,99.71,96.13,99.71,99.71,96.13,96.13,96.13,96.13,96.13
2004-05-01,99.45,99.58,99.58,99.45,99.72,99.72,99.45,99.45,99.45,99.45
2004-06-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-07-01,89.6,99.86,99.86,89.6,100.0,100.0,89.6,89.6,89.6,89.6
2004-08-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-09-01,99.71,99.86,99.86,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2004-10-01,100.0,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-11-01,99.86,99.71,99.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-12-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
