,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003-01-01,96.67,97.78,97.92,96.67,97.64,97.78,95.84,95.84,95.84,95.84
2003-02-01,98.15,0.31,100.0,98.92,0.46,100.0,0.46,0.46,0.46,0.46
2003-03-01,99.31,0.0,99.72,99.72,0.0,99.72,0.0,0.0,0.0,0.0
2003-04-01,97.13,0.0,98.13,97.27,0.0,98.28,0.0,0.0,0.0,0.0
2003-05-01,98.89,0.0,98.89,98.89,0.0,98.89,0.0,0.0,0.0,0.0
2003-06-01,98.57,0.0,99.86,99.14,0.0,100.0,0.0,5.16,0.0,5.16
2003-07-01,99.72,0.0,99.72,100.0,0.0,99.72,0.0,3.33,0.0,3.33
2003-08-01,81.55,0.0,81.97,81.69,0.0,81.97,0.0,2.5,0.0,2.5
2003-09-01,93.26,68.15,92.97,93.4,68.01,93.11,66.71,66.71,66.71,66.71
2003-10-01,94.73,94.87,95.01,94.87,94.87,95.01,94.87,94.87,94.87,94.87
2003-11-01,99.43,100.0,100.0,99.43,100.0,100.0,99.43,99.43,99.43,99.43
2003-12-01,100.0,99.72,99.72,100.0,99.72,99.72,99.72,99.72,99.72,99.72
2004-01-01,99.86,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-02-01,99.85,99.7,99.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-03-01,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78
2004-04-01,99.14,99.28,99.57,99.14,99.43,99.71,99.14,99.14,99.14,99.14
2004-05-01,100.0,99.86,99.58,100.0,100.0,99.72,99.72,99.72,99.72,99.72
2004-06-01,99.71,72.45,98.57,100.0,72.45,98.85,71.59,72.31,71.59,72.31
2004-07-01,99.45,99.86,99.86,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2004-08-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-09-01,99.86,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004-10-01,78.78,99.86,99.86,78.92,100.0,100.0,78.92,78.92,78.92,78.92
2004-11-01,99.57,99.86,99.86,99.57,100.0,100.0,99.57,99.57,99.57,99.57
2004-12-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005-01-01,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.72
2005-02-01,98.77,99.69,99.69,98.77,99.69,99.69,98.77,98.77,98.77,98.77
2005-03-01,99.72,99.86,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2005-04-01,98.71,99.43,0.29,98.71,99.43,0.43,0.43,0.43,0.43,0.43
2005-05-01,100.0,99.86,99.58,100.0,100.0,99.58,99.58,99.58,99.58,99.58
2005-06-01,99.28,99.28,99.14,99.28,99.57,99.28,99.28,99.43,99.28,99.43
2005-07-01,97.09,99.72,99.72,97.64,100.0,100.0,97.64,97.64,97.64,97.64
2005-08-01,99.17,99.86,99.86,99.31,100.0,100.0,99.31,99.31,99.31,99.31
2005-09-01,97.27,99.14,99.14,97.42,99.43,99.43,97.42,97.42,97.42,97.42
2005-10-01,98.47,99.45,99.45,98.61,99.58,99.58,98.61,98.61,98.61,98.61
2005-11-01,98.42,98.71,98.71,98.42,98.85,98.85,98.28,98.28,98.28,98.28
2005-12-01,99.31,75.87,99.31,99.31,76.01,99.31,76.01,76.01,76.01,76.01
2006-01-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-02-01,99.54,99.69,99.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-03-01,99.03,99.58,99.72,99.03,99.72,100.0,98.75,98.75,98.75,98.75
2006-04-01,94.98,95.55,95.55,94.98,95.7,95.7,94.98,94.98,94.98,94.98
2006-05-01,99.86,99.72,99.86,100.0,99.72,100.0,99.72,99.72,99.72,99.72
2006-06-01,99.0,99.14,99.71,99.14,99.14,99.71,98.85,99.14,98.85,99.14
2006-07-01,94.45,99.86,99.86,94.59,100.0,100.0,94.59,94.73,94.59,94.73
2006-08-01,97.92,99.45,99.58,97.92,99.45,99.72,97.64,97.64,97.64,97.64
2006-09-01,98.57,99.57,99.43,99.0,99.71,99.43,98.71,98.71,98.71,98.71
2006-10-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006-11-01,99.28,99.86,99.71,99.71,100.0,99.71,99.71,99.71,99.71,99.71
2006-12-01,98.61,99.58,99.72,98.75,99.58,99.72,98.34,98.34,98.34,98.34
2007-01-01,99.17,99.86,99.86,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2007-02-01,99.23,99.69,99.38,99.38,99.69,99.69,99.38,99.38,99.38,99.38
2007-03-01,98.75,99.58,99.58,98.89,99.72,99.72,98.89,98.89,98.89,98.89
2007-04-01,97.7,99.86,99.71,98.28,100.0,99.71,97.99,97.99,97.99,97.99
2007-05-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-06-01,99.14,99.71,95.27,99.57,100.0,95.55,95.12,95.12,95.12,95.12
2007-07-01,95.42,99.86,99.86,95.84,100.0,100.0,95.84,95.84,95.84,95.84
2007-08-01,100.0,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72,99.72
2007-09-01,99.14,99.71,99.86,99.28,99.71,100.0,99.28,99.28,99.28,99.28
2007-10-01,100.0,99.86,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007-11-01,97.27,99.86,99.86,97.27,100.0,100.0,97.27,97.27,97.27,97.27
2007-12-01,96.53,96.39,96.39,96.67,96.67,96.67,96.67,96.67,96.67,96.67
2008-01-01,85.44,90.85,90.85,85.71,90.98,90.98,85.71,85.71,85.71,85.71
2008-02-01,98.51,99.55,99.85,98.81,99.7,100.0,98.51,98.51,98.51,98.51
2008-03-01,98.75,98.89,98.61,98.89,98.89,98.89,98.89,98.89,98.89,98.89
2008-04-01,99.71,100.0,100.0,99.71,100.0,100.0,99.71,99.71,99.71,99.71
2008-05-01,99.72,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-06-01,97.7,99.28,99.57,97.7,99.28,99.71,97.27,97.27,97.27,97.27
2008-07-01,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-08-01,95.56,99.86,99.86,96.26,100.0,100.0,96.26,97.09,96.26,97.09
2008-09-01,97.56,99.86,100.0,97.85,100.0,100.0,97.85,97.85,97.85,97.85
2008-10-01,99.86,99.72,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-11-01,99.71,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008-12-01,98.89,99.45,99.86,99.03,99.72,100.0,98.75,98.75,98.75,98.75
2009-01-01,99.03,100.0,94.87,99.17,100.0,94.87,94.31,94.31,94.31,94.31
2009-02-01,98.92,87.52,99.85,99.08,87.67,100.0,87.21,87.21,87.21,87.21
2009-03-01,99.31,93.2,99.31,99.31,93.07,99.31,92.93,92.93,92.93,92.93
2009-04-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009-05-01,97.78,100.0,100.0,98.2,100.0,100.0,98.2,98.2,98.2,98.2
2009-06-01,97.7,99.57,99.43,97.85,99.71,99.57,97.56,97.56,97.56,97.56
2009-07-01,98.47,99.86,100.0,99.45,100.0,100.0,99.45,99.45,99.45,99.45
2009-08-01,97.64,99.86,100.0,98.34,100.0,100.0,98.34,98.34,98.34,98.34
2009-09-01,97.99,99.71,100.0,99.0,100.0,100.0,99.0,99.0,99.0,99.0
2009-10-01,99.17,99.86,99.86,99.17,100.0,100.0,99.17,99.17,99.17,99.17
2009-11-01,99.43,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71,99.71
2009-12-01,94.45,81.97,99.86,94.59,82.11,100.0,77.12,77.12,77.12,77.12
2010-01-01,100.0,83.5,99.86,100.0,83.36,100.0,83.36,83.36,83.36,83.36
2010-02-01,96.3,100.0,100.0,96.46,100.0,100.0,96.46,96.46,96.46,96.46
2010-03-01,98.61,99.17,98.47,99.17,99.17,98.47,98.47,98.47,98.47,98.47
2010-04-01,99.28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010-05-01,99.03,92.51,99.72,99.17,92.51,99.72,92.51,92.51,92.51,92.51
2010-06-01,99.14,99.43,99.43,99.71,99.43,99.43,99.43,99.43,99.43,99.43
2010-07-01,97.23,99.58,99.72,97.5,99.72,100.0,97.5,97.5,97.5,97.5
2010-08-01,98.89,99.72,100.0,99.31,99.72,100.0,99.03,99.03,99.03,99.03
2010-09-01,97.7,99.71,99.86,98.57,99.71,100.0,98.57,98.57,98.57,98.57
2010-10-01,99.31,100.0,99.86,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2010-11-01,96.84,99.57,99.57,97.13,99.71,99.71,97.13,97.13,97.13,97.13
2010-12-01,100.0,100.0,99.45,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011-01-01,99.45,100.0,100.0,99.86,100.0,100.0,99.86,99.86,99.86,99.86
2011-02-01,96.3,99.69,99.69,96.76,99.69,99.69,96.76,96.76,96.76,96.76
2011-03-01,99.45,99.45,98.89,99.72,99.72,99.17,99.17,99.17,99.17,99.17
2011-04-01,97.42,99.71,99.43,97.99,99.71,100.0,97.99,97.99,97.99,97.99
2011-05-01,98.2,100.0,100.0,98.61,100.0,100.0,98.61,98.61,98.61,98.61
2011-06-01,95.41,99.57,99.14,95.7,99.57,99.57,95.7,95.7,95.7,95.7
2011-07-01,97.64,100.0,100.0,98.06,100.0,100.0,98.06,98.06,98.06,98.06
2011-08-01,98.89,99.72,99.86,99.17,99.72,100.0,99.17,99.17,99.17,99.17
2011-09-01,96.41,99.71,100.0,96.7,99.71,100.0,96.41,96.41,96.41,96.41
2011-10-01,98.75,99.58,99.58,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2011-11-01,94.84,99.71,99.71,95.27,99.71,99.71,94.98,94.98,94.98,94.98
2011-12-01,99.58,99.72,99.72,99.58,99.72,99.72,99.31,99.31,99.31,99.31
2012-01-01,99.45,100.0,100.0,99.72,100.0,100.0,99.72,99.72,99.72,99.72
2012-02-01,97.62,100.0,99.7,97.92,100.0,99.7,97.92,97.92,97.92,97.92
