,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,98.21,98.29,98.4,98.22,98.47,98.49,98.2,98.29,98.2,98.29
2004,99.44,97.17,99.59,99.47,97.18,99.61,96.97,96.97,96.97,96.97
2005,98.48,97.48,98.63,98.52,97.59,98.69,97.32,97.34,97.32,97.34
2006,98.76,99.16,99.17,98.81,99.17,99.18,98.81,98.82,98.81,98.82
2007,99.3,98.88,99.5,99.48,98.96,99.54,98.67,98.76,98.67,98.76
2008,99.26,99.68,99.73,99.6,99.7,99.73,99.58,99.58,99.58,99.58
2009,98.82,99.8,96.49,99.16,99.81,96.5,95.88,95.88,95.88,95.88
2010,88.07,99.82,98.67,88.53,99.84,98.67,87.29,87.59,87.29,87.59
2011,99.26,99.7,99.73,99.49,99.71,99.74,99.49,99.49,99.49,99.49
2012,95.32,98.94,99.48,95.82,98.96,99.49,95.3,95.36,95.3,95.36
2013,99.2,99.28,98.49,99.19,99.28,98.51,97.32,97.32,97.32,97.32
2014,99.51,99.74,99.77,99.53,99.75,99.78,99.51,99.51,99.51,99.51
2015,95.64,98.61,98.41,95.77,98.61,98.41,95.72,95.72,95.72,95.72
2016,99.19,96.83,99.21,99.27,97.14,99.54,96.7,96.7,96.7,96.7
2017,98.23,98.54,99.29,98.26,98.95,99.71,97.45,97.45,97.45,97.45
2018,99.31,99.6,99.6,99.3,99.62,99.62,99.29,99.29,99.29,99.29
2019,97.89,99.71,99.71,97.89,99.71,99.71,97.89,97.89,97.89,97.89
2020,97.52,99.51,99.51,97.52,99.86,99.86,97.52,97.52,97.52,97.52
2021,97.61,98.32,98.38,97.62,98.91,98.98,97.1,97.1,97.1,97.1
2022,99.71,99.19,99.19,99.76,99.81,99.81,99.76,99.76,99.76,99.76
2023,99.01,98.4,96.44,99.04,99.2,97.2,96.74,96.74,96.74,96.74
2024,99.52,98.61,98.61,99.53,99.45,99.48,99.45,99.45,99.45,99.45
2025,57.76,57.37,57.22,57.86,57.87,57.76,57.73,57.73,57.73,57.73
