,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,85.84,26.6,95.89,85.85,26.64,96.0,19.35,19.99,19.35,19.99
2004,98.17,0.0,99.48,98.22,0.0,99.57,0.0,0.18,0.0,0.18
2005,98.42,0.0,99.4,98.53,0.0,99.46,0.0,1.02,0.0,1.02
2006,99.19,0.0,99.44,99.41,0.0,99.56,0.0,0.24,0.0,0.24
2007,99.41,0.0,97.88,99.56,0.0,98.01,0.0,0.92,0.0,0.92
2008,98.98,0.0,99.74,99.26,0.0,99.81,0.0,0.24,0.0,0.24
2009,98.52,7.63,99.87,98.88,7.62,99.9,7.6,7.7,7.6,7.7
2010,97.61,98.66,98.65,98.05,98.69,98.68,97.98,97.98,97.98,97.98
2011,98.15,98.35,98.3,98.54,98.36,98.31,97.87,97.87,97.87,97.87
2012,98.3,98.63,98.56,98.53,98.64,98.59,98.11,98.11,98.11,98.11
2013,97.2,99.59,99.58,97.22,99.6,99.6,97.2,97.2,97.2,97.2
2014,97.79,98.44,98.44,97.85,98.72,98.72,97.74,97.74,97.74,97.74
2015,97.38,97.94,98.68,97.4,98.53,99.27,96.56,96.56,96.56,96.56
2016,97.97,98.5,98.33,98.03,98.99,98.89,97.54,97.54,97.54,97.54
2017,99.18,99.06,99.04,99.2,99.66,99.68,99.15,99.15,99.15,99.15
2018,97.54,99.17,98.69,97.56,99.77,99.3,97.23,97.23,97.23,97.23
2019,99.55,99.2,99.19,99.56,99.81,99.81,99.54,99.54,99.54,99.54
2020,99.03,99.22,99.19,99.03,99.81,99.78,98.99,98.99,98.99,98.99
2021,98.66,98.75,98.77,98.69,99.35,99.37,98.65,98.65,98.65,98.65
2022,96.86,99.17,98.98,96.9,99.75,99.58,96.71,96.71,96.71,96.71
2023,99.33,98.8,98.83,99.4,99.39,99.41,99.27,99.27,99.27,99.27
2024,98.59,98.41,98.41,98.6,99.02,99.02,98.51,98.51,98.51,98.51
2025,57.47,57.2,56.99,57.56,57.54,57.37,57.36,57.36,57.36,57.36
