,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,97.59,96.98,97.71,97.64,97.17,97.77,95.84,95.92,95.84,95.92
2004,99.79,99.46,99.74,99.83,99.57,99.85,99.46,99.46,99.46,99.46
2005,99.66,93.09,99.64,99.7,93.2,99.78,93.06,93.06,93.06,93.06
2006,99.18,99.44,99.41,99.33,99.56,99.56,99.33,99.33,99.33,99.33
2007,99.65,98.51,98.86,99.81,98.81,99.07,97.87,97.87,97.87,97.87
2008,99.05,93.04,99.71,99.22,93.24,99.82,92.46,92.46,92.46,92.46
2009,90.7,89.19,99.22,90.96,89.23,99.27,80.78,80.78,80.78,80.78
2010,94.52,99.38,99.46,94.74,99.4,99.52,94.13,94.13,94.13,94.13
2011,99.45,99.3,99.14,99.74,99.75,99.62,99.4,99.4,99.4,99.4
2012,99.1,98.81,99.25,99.3,99.4,99.93,98.74,98.74,98.74,98.74
2013,99.04,97.91,98.43,99.08,98.49,99.02,98.3,98.3,98.3,98.3
2014,99.36,99.11,99.15,99.38,99.71,99.8,99.38,99.38,99.38,99.38
2015,99.42,99.19,99.2,99.42,99.78,99.79,99.41,99.41,99.41,99.41
2016,99.77,99.22,99.22,99.8,99.8,99.8,99.78,99.78,99.78,99.78
2017,99.79,99.18,99.19,99.81,99.78,99.78,99.78,99.78,99.78,99.78
2018,99.5,99.39,99.32,99.88,99.89,99.84,99.83,99.83,99.83,99.83
2019,98.84,98.54,98.34,98.88,99.11,98.92,98.66,98.66,98.66,98.66
2020,99.55,99.3,99.28,99.56,99.86,99.86,99.55,99.55,99.55,99.55
2021,99.87,99.25,99.19,99.88,99.85,99.8,99.76,99.76,99.76,99.76
2022,99.63,98.38,99.19,99.65,98.97,99.78,98.74,98.74,98.74,98.74
2023,98.34,98.63,98.76,98.38,99.21,99.37,98.11,98.11,98.11,98.11
2024,99.62,99.16,99.2,99.62,99.76,99.82,99.53,99.53,99.53,99.53
2025,57.7,57.46,57.37,57.78,57.83,57.76,57.76,57.76,57.76,57.76
