,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,99.0,0.0,99.43,99.04,0.0,99.45,0.0,0.11,0.0,0.11
2005,99.62,69.38,99.46,99.71,69.43,99.54,69.11,69.11,69.11,69.11
2006,99.1,99.32,99.31,99.18,99.47,99.48,99.15,99.15,99.15,99.15
2007,96.87,97.88,97.93,97.0,97.91,97.95,96.94,96.94,96.94,96.94
2008,99.09,99.11,99.78,99.2,99.13,99.83,98.46,98.46,98.46,98.46
2009,98.55,93.1,96.27,98.67,93.15,96.34,89.44,89.48,89.44,89.48
2010,98.73,98.94,98.94,98.85,98.97,98.97,98.85,98.85,98.85,98.85
2011,98.24,99.26,99.25,98.4,99.3,99.28,98.38,98.38,98.38,98.38
2012,93.78,99.53,99.74,94.15,99.55,99.79,93.93,93.93,93.93,93.93
2013,99.01,99.25,99.6,99.05,99.45,99.83,98.72,98.72,98.72,98.72
2014,98.35,98.96,98.99,98.37,99.55,99.61,98.34,98.34,98.34,98.34
2015,95.78,98.98,98.85,95.78,99.56,99.44,95.65,95.65,95.65,95.65
2016,98.99,98.66,98.74,99.05,99.25,99.33,98.67,98.67,98.67,98.67
2017,99.45,99.12,99.28,99.45,99.32,99.47,99.14,99.14,99.14,99.14
2018,99.49,99.62,99.61,99.54,99.64,99.64,99.47,99.47,99.47,99.47
2019,98.5,98.21,98.44,98.52,98.28,98.47,98.15,98.15,98.15,98.15
2020,99.54,96.88,99.62,99.59,97.0,99.67,96.96,96.96,96.96,96.96
2021,99.24,94.52,99.54,99.25,94.57,99.57,94.24,94.24,94.24,94.24
2022,99.58,99.8,99.8,99.62,99.82,99.82,99.6,99.6,99.6,99.6
2023,99.34,99.07,99.05,99.38,99.26,99.26,99.24,99.24,99.24,99.24
2024,97.44,97.25,97.2,97.48,97.87,97.85,97.4,97.4,97.4,97.4
2025,57.77,57.56,57.4,57.84,57.85,57.75,57.72,57.72,57.72,57.72
