,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,98.34,6.26,97.85,98.67,6.3,98.0,5.45,5.77,5.45,5.77
2004,99.73,0.0,99.81,99.78,0.0,99.95,0.0,0.06,0.0,0.06
2005,99.11,78.2,99.16,99.34,78.26,99.26,77.37,77.41,77.37,77.41
2006,98.7,99.18,99.18,99.01,99.33,99.36,98.95,98.95,98.95,98.95
2007,98.67,99.22,99.25,99.08,99.34,99.42,98.94,98.95,98.94,98.95
2008,98.77,99.68,99.7,99.22,99.72,99.74,99.19,99.19,99.19,99.19
2009,98.8,99.74,99.73,99.08,99.75,99.76,99.08,99.08,99.08,99.08
2010,98.4,98.98,99.41,98.95,98.99,99.44,98.51,98.52,98.51,98.52
2011,99.08,99.66,99.67,99.46,99.68,99.69,99.46,99.46,99.46,99.46
2012,97.99,98.53,98.48,98.26,98.56,98.52,98.21,98.21,98.21,98.21
2013,94.9,99.59,99.58,94.94,99.63,99.63,94.94,94.94,94.94,94.94
2014,98.96,98.94,98.9,98.97,99.26,99.26,98.89,98.89,98.89,98.89
2015,98.22,98.09,97.9,98.23,98.68,98.49,97.94,97.94,97.94,97.94
2016,91.66,98.4,98.26,91.68,98.95,98.83,90.32,90.32,90.32,90.32
2017,97.3,99.35,99.46,97.33,99.58,99.68,97.12,97.12,97.12,97.12
2018,98.91,99.07,99.14,98.96,99.09,99.14,98.65,98.65,98.65,98.65
2019,98.0,98.6,98.91,98.1,98.61,98.92,97.79,97.79,97.79,97.79
2020,98.52,99.06,99.07,98.56,99.43,99.41,98.54,98.54,98.54,98.54
2021,97.55,99.25,98.65,97.57,99.85,99.24,96.93,96.93,96.93,96.93
2022,99.2,99.24,98.68,99.21,99.81,99.25,98.63,98.63,98.63,98.63
2023,98.34,98.75,98.9,98.37,99.4,99.54,97.99,97.99,97.99,97.99
2024,99.24,99.1,98.99,99.26,99.72,99.62,98.88,98.88,98.88,98.88
2025,57.78,57.54,56.91,57.86,57.9,57.25,57.16,57.16,57.16,57.16
