,pm25,no2,o3,pm25_3h_avg,no2_3h_avg,o3_3h_avg,aqhi,aqhi_plus,aqhi_raw,aqhi_plus_raw
2003,97.03,80.24,97.06,97.15,80.32,97.18,79.16,79.2,79.16,79.2
2004,94.98,99.64,99.72,95.14,99.84,99.89,95.0,95.0,95.0,95.0
2005,97.15,99.32,99.38,97.24,99.47,99.59,97.0,97.0,97.0,97.0
2006,96.96,98.12,98.24,97.11,98.26,98.36,96.79,96.79,96.79,96.79
2007,98.53,98.32,98.46,98.65,98.45,98.78,97.94,97.94,97.94,97.94
2008,99.22,99.7,99.75,99.5,99.81,99.81,99.2,99.2,99.2,99.2
2009,98.91,99.17,99.29,99.18,99.25,99.34,99.02,99.02,99.02,99.02
2010,98.46,98.73,98.91,98.86,98.78,98.98,98.36,98.36,98.36,98.36
2011,98.17,99.16,98.72,98.79,99.18,98.79,98.26,98.26,98.26,98.26
2012,97.73,99.04,99.06,98.31,99.61,99.6,98.1,98.1,98.1,98.1
2013,96.25,98.66,98.8,96.3,99.33,99.46,96.12,96.13,96.12,96.13
2014,98.92,97.32,98.72,99.02,97.91,99.33,97.45,97.45,97.45,97.45
2015,98.1,98.06,98.1,98.16,98.64,98.71,98.05,98.05,98.05,98.05
2016,98.78,98.22,98.65,98.82,99.04,99.26,98.54,98.54,98.54,98.54
2017,99.41,99.19,98.98,99.47,99.8,99.61,99.19,99.19,99.19,99.19
2018,99.28,99.1,99.12,99.3,99.11,99.14,98.94,98.94,98.94,98.94
2019,99.08,97.94,96.51,99.22,99.13,97.84,97.0,97.0,97.0,97.0
2020,98.44,98.54,98.31,98.48,99.13,98.92,97.72,97.72,97.72,97.72
2021,98.58,98.81,98.76,98.58,99.42,99.4,98.3,98.3,98.3,98.3
2022,98.61,97.8,97.76,98.62,98.44,98.43,98.01,98.01,98.01,98.01
2023,98.39,98.04,98.53,98.42,98.66,99.13,97.67,97.67,97.67,97.67
2024,99.2,97.49,98.44,99.22,98.15,99.08,98.1,98.1,98.1,98.1
2025,57.69,57.34,57.12,57.88,57.84,57.68,57.6,57.6,57.6,57.6
