Barrie, (47045) Hourly, Ground-level ozone (O3) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Ozone,2010-01-01,5,2,6,21,20,19,17,23,25,28,28,29,29,30,28,29,30,30,30,31,32,32,34,34,
47045,Ozone,2010-01-02,35,35,35,34,33,32,32,32,32,32,32,31,30,29,29,29,28,27,28,29,29,29,30,30,
47045,Ozone,2010-01-03,30,31,31,32,31,31,32,32,33,34,34,33,32,33,32,31,31,31,32,32,32,32,32,32,
47045,Ozone,2010-01-04,31,31,31,31,31,30,30,29,30,31,31,32,33,33,33,32,29,31,33,33,33,32,33,33,
47045,Ozone,2010-01-05,33,33,34,34,34,32,29,28,30,32,33,34,32,28,31,32,31,31,32,32,33,34,34,33,
47045,Ozone,2010-01-06,33,32,33,33,31,31,31,27,25,28,30,31,33,33,32,31,31,31,31,31,31,31,32,33,
47045,Ozone,2010-01-07,32,31,32,32,31,29,27,23,25,29,30,32,33,33,32,30,28,28,27,22,21,25,29,30,
47045,Ozone,2010-01-08,32,34,34,35,34,34,33,29,27,31,34,34,35,35,35,34,31,31,33,34,35,34,33,33,
47045,Ozone,2010-01-09,34,32,33,33,34,34,32,30,29,31,32,32,32,35,35,34,31,22,27,32,30,30,10,11,
47045,Ozone,2010-01-10,15,18,4,1,2,11,30,31,28,28,33,36,38,40,41,41,41,39,37,34,30,29,25,18,
47045,Ozone,2010-01-11,24,29,31,33,32,30,21,7,9,20,24,27,28,28,28,28,24,19,17,20,23,22,26,30,
47045,Ozone,2010-01-12,31,27,27,29,30,29,24,23,25,28,31,32,32,-999,-999,32,30,25,25,23,25,17,16,21,
47045,Ozone,2010-01-13,23,22,25,27,20,16,12,17,18,17,20,25,27,27,29,30,24,23,27,25,22,26,24,24,
47045,Ozone,2010-01-14,21,18,20,17,12,5,4,2,3,9,16,21,21,19,23,26,18,19,29,29,30,26,25,26,
47045,Ozone,2010-01-15,24,19,22,34,33,29,26,21,21,20,24,26,25,25,23,25,21,19,21,23,24,23,26,28,
47045,Ozone,2010-01-16,28,27,30,30,30,28,21,11,10,22,27,28,31,34,34,35,30,23,20,22,21,18,16,14,
47045,Ozone,2010-01-17,12,13,11,9,17,19,17,15,15,15,19,23,26,27,28,29,29,29,26,26,24,25,19,16,
47045,Ozone,2010-01-18,19,22,25,26,25,22,18,9,8,15,14,15,16,24,28,23,21,18,19,25,24,15,16,16,
47045,Ozone,2010-01-19,17,22,23,24,23,23,16,9,7,13,19,23,26,23,24,21,17,23,24,22,21,18,17,20,
47045,Ozone,2010-01-20,21,20,22,23,22,22,21,21,22,24,26,27,28,28,30,28,26,21,19,19,23,19,3,5,
47045,Ozone,2010-01-21,2,14,2,1,1,1,1,1,3,14,23,25,25,26,29,32,30,28,23,19,20,20,21,22,
47045,Ozone,2010-01-22,21,23,22,23,23,19,21,20,20,26,30,30,32,34,36,36,32,13,2,2,2,13,20,28,
47045,Ozone,2010-01-23,30,28,26,27,24,22,24,18,23,26,28,32,35,39,40,38,36,36,36,35,34,33,33,33,
47045,Ozone,2010-01-24,34,32,32,35,35,34,32,31,30,28,28,26,29,27,28,27,29,31,31,31,30,29,27,29,
47045,Ozone,2010-01-25,29,26,27,27,20,21,23,18,10,5,12,7,13,9,15,17,19,23,24,23,22,20,17,16,
47045,Ozone,2010-01-26,16,14,14,14,13,10,6,4,5,10,16,18,20,19,20,19,20,20,22,29,33,35,37,41,
47045,Ozone,2010-01-27,41,40,41,41,36,35,31,25,22,27,26,29,30,30,29,29,33,32,30,26,24,23,23,27,
47045,Ozone,2010-01-28,27,24,25,28,30,28,27,35,35,36,38,37,35,36,37,36,35,37,38,37,36,35,35,35,
47045,Ozone,2010-01-29,34,31,31,27,17,11,1,2,15,31,34,34,34,34,35,34,32,29,32,31,25,30,28,29,
47045,Ozone,2010-01-30,23,11,2,1,1,1,1,2,6,12,29,33,32,35,36,38,38,37,31,25,14,15,3,20,
47045,Ozone,2010-01-31,27,28,28,29,33,34,33,34,35,35,36,38,38,35,35,33,34,30,28,29,39,41,43,43,
47045,Ozone,2010-02-01,38,37,37,36,32,6,2,7,17,31,37,41,40,42,42,40,39,37,36,35,35,32,29,33,
47045,Ozone,2010-02-02,29,25,28,29,20,24,2,2,13,11,15,23,28,36,40,39,35,36,39,40,41,37,33,34,
47045,Ozone,2010-02-03,23,21,6,1,1,1,11,6,5,11,20,30,35,35,38,37,37,39,40,40,38,35,34,36,
47045,Ozone,2010-02-04,30,9,1,3,2,1,1,2,3,6,13,28,38,40,42,41,38,34,26,37,35,31,33,34,
47045,Ozone,2010-02-05,36,33,34,33,26,16,2,26,33,36,37,40,39,41,41,42,41,36,32,33,37,38,38,38,
47045,Ozone,2010-02-06,38,37,37,37,38,37,35,33,34,36,38,38,39,40,40,40,38,33,31,32,33,30,31,31,
47045,Ozone,2010-02-07,31,29,29,30,31,34,34,33,33,35,35,37,39,40,40,40,40,37,36,34,35,35,37,38,
47045,Ozone,2010-02-08,40,39,38,38,38,35,33,30,32,9999,31,31,31,31,32,32,31,31,31,30,29,29,29,30,
