Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2013-01-01,5,5,5,5,5,5,6,6,6,6,5,5,4,4,4,4,4,4,4,5,4,4,4,4,
47045,Fine Particulate Matter,2013-01-02,5,5,5,5,4,4,4,4,3,3,2,3,3,2,3,5,9,9,8,7,6,5,5,5,
47045,Fine Particulate Matter,2013-01-03,4,4,5,4,4,4,4,5,7,10,12,15,16,17,15,14,16,18,20,21,21,16,11,7,
47045,Fine Particulate Matter,2013-01-04,7,7,9,10,11,12,13,12,13,11,9,8,8,9,9,8,7,7,7,8,9,9,8,7,
47045,Fine Particulate Matter,2013-01-05,7,7,5,5,4,4,4,4,4,4,3,3,4,7,6,5,9,16,21,21,20,21,24,24,
47045,Fine Particulate Matter,2013-01-06,25,26,25,24,24,22,19,18,15,15,15,14,12,9,9,9,11,15,15,11,9,7,8,8,
47045,Fine Particulate Matter,2013-01-07,6,6,5,4,4,4,4,4,4,5,14,6,6,7,9,13,14,13,13,13,12,12,11,11,
47045,Fine Particulate Matter,2013-01-08,14,17,19,20,21,23,25,26,28,29,32,35,28,27,25,28,33,34,36,38,39,39,38,34,
47045,Fine Particulate Matter,2013-01-09,29,29,31,31,32,32,24,22,20,20,19,17,19,17,14,11,9,10,10,8,7,6,6,5,
47045,Fine Particulate Matter,2013-01-10,5,5,4,4,4,4,4,4,4,5,4,4,3,4,4,4,5,7,8,12,12,14,12,13,
