,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
St. John's,0.0,0.0,,0.0,,,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Halifax,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Fredericton,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Saguenay,,,,,,,,,,,,,,,,,,,,,
Quebec,8.0,4.0,4.0,3.0,,1.0,2.0,3.0,3.0,0.0,2.0,1.0,,1.0,0.0,0.0,5.0,1.0,,,
Trois Rivières,,,,,,,,,,,,,,,,,,,,,
Sherbrooke,,,,,,,,,,,,,,,,,,,,,
Montréal,21.0,1.0,,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
Ottawa,5.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,2.0
Kingston,,,16.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0
St. Catharines,16.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,1.0
Toronto,33.0,16.0,19.0,8.0,3.0,6.0,2.0,5.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,0.0,8.0
North Bay,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,5.0,0.0,0.0
Barrie,23.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,5.0,0.0,1.0
Hamilton,,6.0,11.0,4.0,0.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,2.0
Sudbury,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
London,17.0,4.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0
Windsor,23.0,7.0,20.0,4.0,0.0,4.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,1.0,3.0
Sault Ste. Marie,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0
Thunder Bay,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,
Winnipeg,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,
Thompson,,,,,,,,,,,,,,,,,,,,,
Brandon,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,1.0,0.0,7.0,0.0,,,,,,,,,
Regina,0.0,9.0,,1.0,2.0,5.0,2.0,1.0,0.0,6.0,11.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,,17.0,16.0
Prince Albert,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,6.0,0.0,1.0,,0.0,0.0,7.0,0.0,21.0,11.0,24.0
Saskatoon,1.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,8.0,0.0,0.0,6.0,1.0,22.0,10.0,15.0
Fort Mcmurray,0.0,2.0,4.0,2.0,0.0,1.0,19.0,,4.0,12.0,12.0,19.0,1.0,4.0,6.0,0.0,2.0,2.0,53.0,,
Lethbridge,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,,11.0,13.0,1.0,1.0,7.0,1.0,10.0,,
Edmonton,6.0,6.0,2.0,6.0,,18.0,8.0,3.0,8.0,0.0,1.0,2.0,4.0,14.0,10.0,3.0,8.0,5.0,38.0,14.0,7.0
Calgary,0.0,1.0,0.0,0.0,,8.0,2.0,1.0,2.0,2.0,4.0,1.0,7.0,10.0,4.0,0.0,8.0,3.0,21.0,7.0,3.0
Hinton,,,,,,,,,,3.0,5.0,2.0,6.0,11.0,4.0,0.0,3.0,5.0,17.0,,
Grande Prairie,3.0,1.0,0.0,1.0,1.0,,2.0,,0.0,6.0,3.0,0.0,2.0,12.0,4.0,1.0,6.0,,39.0,,
Kelowna,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,16.0,15.0,0.0,4.0,14.0,0.0,9.0,0.0,0.0
Kamloops,0.0,1.0,1.0,0.0,,,,,,2.0,3.0,1.0,,12.0,0.0,2.0,33.0,0.0,18.0,1.0,0.0
Fort St. John,,,,,,,,,,,2.0,0.0,2.0,11.0,2.0,0.0,0.0,5.0,37.0,5.0,7.0
Prince George,0.0,3.0,2.0,3.0,2.0,8.0,0.0,0.0,1.0,8.0,1.0,2.0,,24.0,3.0,1.0,7.0,0.0,15.0,1.0,2.0
Vancouver,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,12.0,4.0,2.0,8.0,2.0,3.0,0.0,0.0,1.0
Victoria,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Nanaimo,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,,
Iqaluit,,,,,,,,,,1.0,,,0.0,0.0,,,,,,,
Yellowknife,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,33.0,7.0,1.0,4.0,0.0,1.0,0.0,0.0,6.0,47.0,,
Whitehorse,1.0,,,,,,,0.0,1.0,1.0,,0.0,0.0,0.0,,0.0,12.0,4.0,,1.0,1.0
