,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
St. John's,0.0,0.0,,1.0,,,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,,
Halifax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredericton,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Montréal,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0
Quebec,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,
Sherbrooke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saguenay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trois Rivières,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ottawa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0
Windsor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,0.0
Kingston,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0
Toronto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
Hamilton,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0
Sudbury,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0
Sault Ste. Marie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0
Thunder Bay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,
London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,0.0
St. Catharines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0
North Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,6.0,0.0,0.0
Barrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,0.0,1.0
Winnipeg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,
Brandon,0.0,2.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,7.0,0.0,,,,,,,,,
Thompson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regina,0.0,0.0,,1.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,9.0,16.0
Saskatoon,0.0,1.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,6.0,0.0,0.0,8.0,0.0,20.0,11.0,13.0
Prince Albert,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,10.0,1.0,1.0,,0.0,0.0,8.0,0.0,18.0,12.0,23.0
Edmonton,0.0,0.0,0.0,0.0,,7.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,7.0,3.0,26.0,13.0,5.0
Calgary,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,6.0,2.0,0.0,4.0,0.0,16.0,4.0,2.0
Lethbridge,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,7.0,,9.0,9.0,1.0,1.0,6.0,1.0,7.0,,
Fort Mcmurray,2.0,3.0,4.0,1.0,1.0,0.0,18.0,,3.0,6.0,12.0,20.0,1.0,4.0,5.0,0.0,2.0,7.0,51.0,,
Grande Prairie,0.0,0.0,0.0,0.0,1.0,,2.0,,0.0,4.0,2.0,0.0,4.0,14.0,3.0,1.0,6.0,,38.0,,
Hinton,,,,,,,,,,4.0,6.0,5.0,8.0,12.0,4.0,0.0,2.0,5.0,16.0,,
Vancouver,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,2.0,1.0,0.0,4.0,2.0,7.0,1.0,2.0,1.0,0.0,1.0
Prince George,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,,22.0,0.0,0.0,6.0,0.0,13.0,2.0,2.0
