,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
St. John's,2.0,2.0,,2.0,,,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,,5.0,10.0,3.0,,,
Halifax,,,,,,,,,,,,,7.0,15.0,7.0,5.0,10.0,3.0,23.0,7.0,8.0
Fredericton,2.0,2.0,1.0,2.0,,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,,5.0,10.0,3.0,23.0,7.0,8.0
Montréal,2.0,2.0,,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,19.0,7.0,8.0
Quebec,2.0,2.0,1.0,1.0,,3.0,5.0,3.0,1.0,6.0,12.0,2.0,,15.0,7.0,5.0,10.0,3.0,,,
Ottawa,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,12.0,7.0,8.0
Windsor,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,14.0,7.0,8.0
Kingston,,,1.0,2.0,,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,17.0,7.0,8.0
Toronto,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,23.0,7.0,5.0
Hamilton,,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,19.0,7.0,8.0
Sudbury,,,,,,,,,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,14.0,7.0,8.0
Sault Ste. Marie,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,14.0,7.0,8.0
Thunder Bay,,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,23.0,7.0,
London,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,19.0,7.0,8.0
St. Catharines,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,19.0,7.0,8.0
North Bay,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,12.0,7.0,5.0,10.0,,17.0,7.0,8.0
Barrie,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,15.0,7.0,5.0,10.0,,23.0,7.0,8.0
Winnipeg,1.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,,,,,,,,
Brandon,2.0,2.0,1.0,2.0,2.0,8.0,,1.0,1.0,6.0,8.0,2.0,,,,,,,,,
Regina,2.0,2.0,,2.0,2.0,8.0,5.0,3.0,1.0,6.0,2.0,2.0,7.0,15.0,7.0,5.0,10.0,3.0,,5.0,3.0
Saskatoon,2.0,2.0,,2.0,2.0,3.0,5.0,3.0,1.0,6.0,2.0,2.0,7.0,12.0,7.0,5.0,4.0,3.0,8.0,2.0,2.0
Prince Albert,,2.0,1.0,2.0,2.0,3.0,,,1.0,6.0,4.0,2.0,7.0,,7.0,5.0,3.0,3.0,6.0,5.0,1.0
Edmonton,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,1.0,6.0,12.0,2.0,7.0,7.0,1.0,5.0,5.0,3.0,5.0,1.0,8.0
Calgary,2.0,2.0,1.0,2.0,,3.0,5.0,3.0,1.0,6.0,8.0,2.0,3.0,7.0,5.0,5.0,6.0,3.0,12.0,2.0,5.0
Lethbridge,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,6.0,12.0,,1.0,15.0,7.0,5.0,6.0,3.0,23.0,,
Fort Mcmurray,2.0,1.0,1.0,2.0,2.0,8.0,1.0,,1.0,2.0,1.0,1.0,7.0,12.0,1.0,5.0,10.0,3.0,3.0,,
Grande Prairie,2.0,2.0,1.0,2.0,2.0,,2.0,,1.0,2.0,12.0,2.0,3.0,1.0,1.0,5.0,10.0,,2.0,,
Hinton,,,,,,,,,,2.0,12.0,2.0,7.0,1.0,1.0,5.0,10.0,1.0,9.0,,
Vancouver,2.0,2.0,1.0,2.0,2.0,8.0,5.0,3.0,1.0,,5.0,2.0,7.0,7.0,7.0,3.0,6.0,3.0,23.0,7.0,8.0
Prince George,2.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,6.0,12.0,2.0,,4.0,7.0,5.0,6.0,3.0,10.0,7.0,5.0
Victoria,2.0,2.0,,2.0,2.0,8.0,5.0,3.0,1.0,6.0,12.0,2.0,7.0,7.0,7.0,1.0,10.0,3.0,23.0,7.0,8.0
Kamloops,2.0,2.0,1.0,2.0,,,,,,6.0,8.0,2.0,,1.0,7.0,5.0,1.0,3.0,6.0,7.0,8.0
Kelowna,2.0,2.0,1.0,2.0,1.0,8.0,5.0,3.0,1.0,6.0,5.0,2.0,3.0,5.0,7.0,1.0,2.0,3.0,10.0,7.0,8.0
Nanaimo,,,1.0,2.0,2.0,8.0,5.0,3.0,1.0,6.0,8.0,2.0,7.0,7.0,7.0,4.0,10.0,3.0,23.0,,
