,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022,2023-2025
St. John's,30.0,21.0,24.0,24.0,21.0,31.0,32.0
Halifax,30.0,32.0,31.0,35.0,29.0,28.0,31.0
Fredericton,28.0,32.0,27.0,26.0,24.0,31.0,32.0
Quebec,9.0,15.0,7.0,17.0,24.0,14.0,32.0
Montréal,8.0,7.0,17.0,30.0,24.0,21.0,22.0
Ottawa,13.0,17.0,27.0,30.0,33.0,31.0,19.0
Kingston,7.0,12.0,12.0,26.0,29.0,24.0,24.0
St. Catharines,3.0,21.0,20.0,35.0,33.0,31.0,25.0
Toronto,2.0,4.0,10.0,23.0,24.0,18.0,13.0
North Bay,15.0,28.0,27.0,35.0,17.0,26.0,14.0
Barrie,5.0,14.0,14.0,33.0,33.0,23.0,14.0
Hamilton,6.0,9.0,7.0,17.0,21.0,28.0,25.0
Sudbury,30.0,32.0,31.0,30.0,21.0,28.0,17.0
London,4.0,15.0,10.0,24.0,33.0,31.0,22.0
Windsor,1.0,2.0,2.0,15.0,18.0,26.0,14.0
Sault Ste. Marie,20.0,28.0,22.0,35.0,29.0,24.0,18.0
Thunder Bay,30.0,26.0,27.0,33.0,24.0,21.0,27.0
Winnipeg,20.0,28.0,20.0,21.0,33.0,31.0,32.0
Brandon,13.0,17.0,17.0,10.0,33.0,31.0,32.0
Regina,16.0,11.0,14.0,5.0,14.0,19.0,9.0
Prince Albert,24.0,21.0,31.0,5.0,19.0,8.0,1.0
Saskatoon,20.0,6.0,22.0,8.0,11.0,15.0,3.0
Fort Mcmurray,11.0,5.0,3.0,2.0,10.0,11.0,6.0
Lethbridge,30.0,21.0,14.0,11.0,3.0,5.0,20.0
Edmonton,11.0,1.0,4.0,13.0,6.0,8.0,2.0
Calgary,28.0,10.0,4.0,11.0,7.0,12.0,10.0
Hinton,30.0,32.0,31.0,3.0,1.0,3.0,12.0
Grande Prairie,16.0,17.0,17.0,7.0,5.0,13.0,7.0
Kelowna,24.0,17.0,25.0,17.0,3.0,3.0,21.0
Kamloops,19.0,28.0,31.0,13.0,12.0,1.0,11.0
Fort St. John,30.0,32.0,31.0,15.0,8.0,7.0,4.0
Prince George,10.0,2.0,12.0,4.0,2.0,5.0,8.0
Vancouver,27.0,21.0,26.0,21.0,9.0,8.0,28.0
Victoria,24.0,12.0,1.0,17.0,15.0,16.0,28.0
Nanaimo,30.0,26.0,31.0,26.0,12.0,20.0,32.0
Iqaluit,30.0,32.0,31.0,26.0,29.0,31.0,32.0
Yellowknife,18.0,7.0,7.0,1.0,16.0,16.0,5.0
Whitehorse,20.0,32.0,6.0,8.0,20.0,2.0,28.0
