,2006-2010,2011-2015,2016-2020,2021-2025
St. John's,12.0,13.0,17.0,23.0
Halifax,12.0,13.0,17.0,23.0
Fredericton,12.0,13.0,17.0,23.0
Montréal,12.0,13.0,17.0,23.0
Quebec,4.0,13.0,17.0,23.0
Sherbrooke,4.0,13.0,17.0,23.0
Saguenay,12.0,13.0,17.0,23.0
Trois Rivières,2.0,13.0,17.0,23.0
Ottawa,12.0,13.0,17.0,14.0
Windsor,12.0,13.0,17.0,19.0
Kingston,12.0,13.0,17.0,19.0
Toronto,12.0,13.0,17.0,23.0
Hamilton,12.0,13.0,17.0,23.0
Sudbury,12.0,13.0,17.0,16.0
Sault Ste. Marie,12.0,13.0,17.0,14.0
Thunder Bay,12.0,13.0,17.0,23.0
London,12.0,13.0,17.0,19.0
St. Catharines,12.0,13.0,17.0,23.0
North Bay,12.0,13.0,17.0,16.0
Barrie,12.0,13.0,17.0,23.0
Winnipeg,12.0,10.0,9.0,16.0
Brandon,4.0,3.0,9.0,23.0
Thompson,12.0,10.0,8.0,23.0
Regina,12.0,7.0,17.0,13.0
Saskatoon,4.0,3.0,14.0,7.0
Prince Albert,12.0,3.0,17.0,3.0
Edmonton,4.0,13.0,9.0,6.0
Calgary,4.0,13.0,12.0,12.0
Lethbridge,4.0,13.0,17.0,19.0
Fort Mcmurray,4.0,2.0,1.0,1.0
Grande Prairie,12.0,7.0,2.0,3.0
Hinton,2.0,6.0,4.0,9.0
Vancouver,12.0,10.0,17.0,23.0
Prince George,1.0,13.0,2.0,11.0
Victoria,12.0,13.0,14.0,23.0
Kamloops,12.0,13.0,5.0,8.0
Kelowna,12.0,7.0,5.0,10.0
Nanaimo,12.0,13.0,14.0,23.0
Fort St. John,12.0,13.0,5.0,5.0
Whitehorse,12.0,13.0,17.0,23.0
Yellowknife,12.0,1.0,12.0,2.0
Iqaluit,12.0,13.0,17.0,23.0
