,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
St. John's,10.44,8.91,,10.72,,,14.07,7.55,9.78,14.53,15.65,11.77,12.68,10.53,,14.56,13.64,16.1,,,
Halifax,,,,,,,,,,,,,13.57,11.74,15.21,14.45,12.75,11.56,11.36,10.77,10.37
Fredericton,10.45,11.38,8.31,9.65,,10.2,13.46,13.17,11.26,13.3,15.01,17.64,16.42,13.44,,14.66,16.35,15.77,15.15,12.27,13.24
Montréal,14.35,14.16,,20.5,19.34,16.07,18.36,16.38,16.37,16.11,13.83,14.35,14.66,14.1,13.88,14.76,16.92,15.3,14.56,13.21,13.78
Quebec,14.4,14.12,12.54,12.68,,19.0,21.06,22.88,18.71,18.95,20.22,18.83,,16.72,16.09,17.44,18.49,16.28,,,
Sherbrooke,,,,,,,,,,,,,,,,,,,,,
Saguenay,,,,,,,,,,,,,,,,,,,,,
Trois Rivières,,,,,,,,,,,,,,,,,,,,,
Ottawa,12.99,12.01,11.08,9.62,9.76,9.18,10.31,9.67,13.82,14.67,13.93,12.58,13.02,12.45,12.79,13.64,13.77,,16.48,15.39,14.39
Windsor,13.69,11.38,11.91,11.73,11.24,10.64,11.25,11.22,14.71,15.48,14.09,13.38,13.34,14.43,13.46,13.12,14.19,,16.22,14.65,14.95
Kingston,,,11.87,12.15,,11.58,13.34,12.56,13.44,13.61,12.91,12.14,11.08,11.49,11.46,12.17,13.27,,14.25,11.82,12.86
Toronto,10.08,9.83,9.27,9.16,8.34,8.54,9.44,9.75,12.74,13.36,13.17,11.43,11.9,13.23,13.4,13.19,13.08,12.73,14.23,12.47,14.58
Hamilton,,12.33,11.13,11.36,11.09,9.97,10.83,10.8,14.94,15.36,14.96,12.83,13.2,13.68,13.77,13.16,15.0,,18.23,15.0,16.21
Sudbury,,,,,,,,,11.56,12.37,13.12,11.77,10.98,11.38,10.74,11.95,13.65,11.72,15.08,11.72,13.68
Sault Ste. Marie,10.83,10.52,10.06,8.9,9.08,8.68,9.68,9.17,12.17,13.18,13.05,11.68,11.6,11.91,11.04,10.8,12.58,10.36,16.46,11.08,14.39
Thunder Bay,,10.69,9.29,9.42,8.51,8.89,10.11,9.32,13.59,14.47,14.42,12.19,12.75,13.44,12.46,13.59,14.39,12.15,15.18,14.45,
London,17.12,13.78,10.14,11.09,10.87,10.8,11.54,12.8,17.82,17.18,16.51,15.4,15.13,15.65,14.73,14.78,16.1,,18.95,16.26,16.92
St. Catharines,12.81,12.39,12.07,12.31,11.15,11.08,11.39,11.55,15.85,,15.46,12.93,13.94,14.03,13.93,12.89,12.89,,15.48,13.49,14.41
North Bay,9.61,9.53,9.29,8.98,7.72,7.47,8.69,8.72,11.56,11.97,11.71,11.17,11.44,12.47,10.86,11.73,13.83,,18.94,12.11,13.74
Barrie,11.1,10.74,10.84,10.16,10.17,9.9,11.11,10.57,14.55,14.71,15.01,12.72,14.18,14.82,15.14,14.52,15.29,,17.27,16.18,16.55
Winnipeg,9.39,8.85,8.95,9.11,9.47,9.93,11.1,8.08,14.67,14.71,12.75,12.01,14.08,,,,,,,,
Brandon,11.73,12.29,11.49,11.6,12.03,11.62,,15.37,14.79,14.77,15.21,14.05,,,,,,,,,
Thompson,,,,,,,,,,,,,,,,,,,,,
Regina,9.5,9.18,,10.0,10.27,14.32,15.02,13.36,14.35,12.25,19.37,16.42,12.04,11.69,15.21,15.0,16.6,14.28,,16.67,18.11
Saskatoon,8.26,8.89,,9.52,8.49,12.17,10.39,11.61,12.07,15.61,17.57,14.03,16.67,20.94,15.91,14.93,18.78,20.22,21.86,18.46,19.51
Prince Albert,,11.69,8.94,10.6,11.72,10.19,,,13.4,18.37,15.49,15.31,19.75,,16.9,17.12,21.5,15.58,23.3,20.91,21.27
Edmonton,7.65,8.81,8.18,8.73,,22.21,15.35,13.36,12.47,14.74,12.56,14.33,13.44,13.41,9.87,8.19,13.41,13.58,22.92,19.26,17.4
Calgary,7.13,9.11,7.61,7.99,,13.96,14.06,14.85,14.24,14.01,17.1,9.55,11.45,13.65,10.47,10.32,11.43,10.32,16.32,14.4,15.38
Lethbridge,6.81,8.24,7.32,7.47,8.66,14.56,12.35,13.11,13.74,13.98,13.79,,12.27,14.2,10.66,10.54,11.79,11.69,12.57,,
Fort Mcmurray,8.74,9.9,11.72,12.47,9.55,9.47,17.0,,16.07,19.02,17.23,16.5,13.25,14.28,12.89,12.69,13.75,15.42,23.76,,
Grande Prairie,9.66,10.56,7.6,7.93,9.7,,15.09,,12.89,14.47,12.52,13.47,11.85,14.97,11.4,10.06,11.19,,22.82,,
Hinton,,,,,,,,,,19.67,19.72,20.4,23.56,21.48,17.72,16.04,18.61,17.83,22.37,,
Vancouver,11.23,9.5,9.27,9.08,9.24,8.56,8.84,7.76,13.19,,14.73,12.24,13.41,14.31,13.62,13.21,11.86,14.05,12.84,9.16,10.17
Prince George,14.76,14.08,13.15,13.54,13.92,14.55,10.99,12.31,13.16,19.29,18.34,18.96,,22.25,17.28,17.3,17.53,15.32,21.27,19.71,19.52
Victoria,12.75,10.65,,12.25,14.59,17.46,17.58,13.14,16.26,14.18,14.47,8.97,14.97,18.2,15.86,15.8,16.11,16.32,15.19,12.67,13.58
Kamloops,10.78,10.21,10.84,10.66,,,,,,17.0,16.7,17.07,,17.79,15.41,13.78,16.29,15.67,18.29,13.36,13.66
Kelowna,10.62,10.38,9.66,10.07,11.39,10.61,8.86,9.25,10.05,10.59,16.65,13.91,16.75,17.6,15.81,15.34,18.5,15.8,19.46,15.56,16.8
Nanaimo,,,9.5,9.06,8.6,7.93,8.24,7.98,10.87,13.5,10.48,9.87,12.83,10.77,10.62,13.79,14.3,13.14,10.48,,
Fort St. John,,,,,,,,,,,14.89,13.88,12.54,16.0,14.74,11.68,12.05,13.12,21.62,13.22,12.71
Whitehorse,6.89,,,,,,,11.31,13.96,14.25,,8.22,8.04,6.93,,11.12,13.02,12.05,,9.88,9.4
Yellowknife,7.47,3.57,4.9,13.71,13.66,11.31,16.62,15.71,15.95,21.57,18.91,20.82,8.82,7.5,14.72,14.28,12.4,14.49,31.8,,
Iqaluit,,,,,,,,,,14.17,,,9.99,13.98,,,,,,,
