,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
barrie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
belleville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
brampton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1
brantford,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
burlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
chatham,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
cornwall,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
dorset,,,,,,,,,,,,,,,,,,,,,,,
grand bend,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
guelph,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
hamilton downtown,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,
hamilton mountain,0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0
hamilton west,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
kingston,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
kitchener,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
london,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
milton,,,,,,,,,,,,,,,,,0,0,0,0,4,0,1
mississauga,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
newmarket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
north bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0
oakville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
oshawa,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
ottawa downtown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
parry sound,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
peterborough,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1
port stanley,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,0,0
sarnia,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
sault ste. marie,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
st. catharines,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sudbury,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,7,0,0
thunder bay,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,
tiverton,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
toronto downtown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
toronto east,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
toronto north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
toronto west,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
windsor downtown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
windsor west,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1
